시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,10.8,1.8,91.3,10.9,241.1,49.2,23.1,11.7,43.2,34.6,24.9
현재기후,2001,8.1,0.5,103.6,11.4,234.5,50.4,19.9,9.5,35.8,34.9,24
현재기후,2002,4.2,1.5,78.3,10.8,241.5,25.2,5.2,6.2,22.6,35,25
현재기후,2003,0.9,0,70.9,10.4,248.3,16.6,0,3.2,12,32.7,23.1
현재기후,2004,8.5,2,82.6,11.1,251.1,34.4,15.6,11.8,31.4,35.5,24.7
현재기후,2005,8.4,1.8,90.6,10.8,234.6,40.2,19.6,9.5,44.9,35.5,24.7
현재기후,2006,7.2,0.8,81.1,10.4,236.1,28.3,15.1,13.7,33.3,34.4,23.7
현재기후,2007,4.6,1,80.9,10.1,245.5,34.6,5.2,7.5,35.6,33.9,24.4
현재기후,2008,5.7,0.7,90.8,10.8,251,36,15.1,9.4,36.2,34.8,24.3
현재기후,2009,2.2,0.2,86.5,10.8,244.7,26.9,3.7,5.4,18.5,33.7,22.7
현재기후,2010,7.5,3,98.1,10.3,227.3,46.8,17.7,9.7,55,34.2,25.5
현재기후,2011,3.5,0.7,84.2,10.5,237.1,29.1,8.1,7.3,40.5,33.7,24
현재기후,2012,6.7,1.2,84.5,10.5,227.8,32.5,14.7,13,37.5,35.1,24.1
현재기후,2013,6,3.8,98.4,10.4,226.6,41.8,18.9,14,52.3,33.5,25.3
현재기후,2014,3.4,0.2,91.6,10.8,242.6,29.4,7.1,8.2,23.1,33.9,23.4
현재기후,2015,4.5,0.9,96,10.9,251.1,35.6,11.1,9.9,27.7,34.5,23.7
현재기후,2016,8.5,1.6,96.2,10.7,257,42.8,26.2,21.4,36.2,34.5,24.1
현재기후,2017,5,1.7,95.8,11,237.8,33.8,11.6,9.1,44.1,34.2,24.8
현재기후,2018,18,4.7,95,11,243.8,49.3,30.7,28.1,43.2,37.5,25
현재기후,2019,7.1,2.5,101.9,11.1,245.2,35.8,10.9,9.2,37.6,34.3,24.8
SSP1-2.6,2021,18.5,12.2,112.8,10.7,266.2,60.2,43,21,61.7,37.6,26.4
SSP1-2.6,2022,14.7,8.7,111.5,10.9,265.8,57.8,34.7,14.3,62.4,36.3,26.4
SSP1-2.6,2023,9.7,4.8,100.4,10.5,252.3,45.2,21.7,15.4,47,35.4,25.6
SSP1-2.6,2024,12.6,5.4,104.6,11.1,262.1,46.4,25.8,18.5,42.4,36.7,26
SSP1-2.6,2025,12.2,7.5,87.6,10.6,269,42.6,26.8,17.6,47.8,36.2,26.1
SSP1-2.6,2026,8.7,10.2,100.3,10.6,271,41.7,24.9,16.8,51.6,36,26.4
SSP1-2.6,2027,13.1,7,104.4,10.8,269.8,49,29.8,13.6,61.4,36.5,26.1
SSP1-2.6,2028,15.6,4.4,104.4,11.2,253.9,54.8,30,17.5,48.3,37,25.3
SSP1-2.6,2029,9.6,5.4,105.1,10.7,261.4,47.5,17.1,9.3,49.6,35.9,26.4
SSP1-2.6,2030,12.7,9.6,110.7,10.9,258.8,49.7,24.3,17.2,49.9,36.2,26.6
SSP1-2.6,2031,5.2,5.2,102.5,10.9,267.1,39,17.8,12.2,44.3,34,25.6
SSP1-2.6,2032,15.5,7.8,106.7,11,244.5,53.6,31.1,15.5,57.7,37.1,26.4
SSP1-2.6,2033,16.1,11.3,122,10.6,248.6,70,42,21.3,63.2,36.1,26.7
SSP1-2.6,2034,10.4,6.6,106.1,11,259.9,48.9,29,14.4,49.5,36.2,26.2
SSP1-2.6,2035,12.3,9.1,100.6,10.7,274,52.1,32.2,16.3,54.8,37,27.1
SSP1-2.6,2036,12.7,12.5,106.6,10.6,266.8,54.1,37.7,23.7,54.2,35.9,26.6
SSP1-2.6,2037,16.5,11.2,125.7,10.7,282.2,67.3,37,20.8,65.4,36.7,26.7
SSP1-2.6,2038,5.3,6.3,106.2,10.5,255.9,37.3,12.3,8.6,48.9,34.6,26.7
SSP1-2.6,2039,22.6,16.6,100.4,10.7,255,61.8,46.5,32.4,66.5,38.5,27.2
SSP1-2.6,2040,22,9.4,127.9,11.3,249.7,67.4,38.4,25.3,53.8,38.8,26.5
SSP1-2.6,2041,24,12,114.7,10.8,268.9,62.9,44.4,31.2,61.6,39.9,26.9
SSP1-2.6,2042,20.5,15.8,114,10.8,253.1,64.6,43.5,24.7,64.8,37.1,27.2
SSP1-2.6,2043,25.8,18.8,121.4,10.8,254.8,65.2,46.1,31.5,64.4,37.3,27.9
SSP1-2.6,2044,10.2,3.4,105,10.7,274.8,46.4,20.9,10.7,49.2,36.2,25.9
SSP1-2.6,2045,17,19.5,122.5,10.5,268.7,64,41.7,23.8,73.8,36.6,27.1
SSP1-2.6,2046,7.6,6.7,105.7,10.6,248.7,48.5,26.5,13.3,53.5,35.3,26.2
SSP1-2.6,2047,23,17.4,119.4,10.8,259.6,63.4,38.1,23.1,59.2,37.4,27.8
SSP1-2.6,2048,18.9,14.2,115.9,10.8,250.6,62.9,38.5,23.6,58.8,37.5,27.3
SSP1-2.6,2049,12.9,11.4,124,10.8,258.3,57.6,31.5,19.4,60.5,36.5,27
SSP1-2.6,2050,26.1,15.6,121.2,11.1,269,68.9,48.2,31.7,61,38.3,27
SSP1-2.6,2051,18,13.4,117.9,10.7,259.5,63.1,41.4,28.6,69,36.8,26.3
SSP1-2.6,2052,17.1,10.2,110.2,11.2,284.3,53.9,35.7,21.5,58.5,37.2,26.6
SSP1-2.6,2053,21.2,15.9,120.1,10.8,269.6,65.5,47.4,24.2,69.9,37.3,26.8
SSP1-2.6,2054,8.7,7.7,106.3,10.6,245.6,46.1,21.3,16.3,49.5,35.4,26.8
SSP1-2.6,2055,15.7,16.6,115.4,10.2,254.8,58.3,37.4,21.9,75.5,37.4,27.4
SSP1-2.6,2056,17.3,12.3,116.8,10.6,261.2,62.7,41.7,26,66.4,36.5,26.7
SSP1-2.6,2057,25.8,15.3,119.2,10.7,257.3,65.2,43,32.8,55.2,39.4,27.5
SSP1-2.6,2058,19.9,12.8,121.2,10.6,256,67.5,42.2,20.1,64.5,37.6,27.9
SSP1-2.6,2059,6,4,101.9,10.8,261.3,37.1,10.4,6.8,51.6,34.9,26.3
SSP1-2.6,2060,13.8,2.7,122.1,11.1,247.1,52.7,22,9.4,56.9,37.4,25.3
SSP1-2.6,2061,14.4,12.8,118.7,10.8,274.8,58.9,32.2,21.6,60.1,36.8,26.8
SSP1-2.6,2062,10.6,8.3,119.7,10.5,274.2,52.9,21,12.9,60.6,36.3,27
SSP1-2.6,2063,33.5,21.1,132.6,11.2,265.7,83.6,59.7,40.7,72.2,39.7,28.1
SSP1-2.6,2064,24.2,8.6,127.6,10.9,264.8,79.5,51.9,18.9,74.8,37,26.1
SSP1-2.6,2065,14.4,7.6,119,10.6,270.6,61.2,34.8,18.7,54.5,36,26
SSP1-2.6,2066,17.4,15.6,121.9,10.4,269.2,63.6,40.5,27,66.7,36.8,27.3
SSP1-2.6,2067,11.7,6.7,112.7,10.4,268.1,46.5,20.9,12.3,58.4,36.7,27.1
