시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,20.2,4.3,116.8,9.9,254.7,48.2,21.3,11.2,46,34.9,25.8
현재기후,2001,13.3,4.1,127.7,10.2,248.7,47.7,17.7,9.1,35.1,35.8,25.5
현재기후,2002,5.4,3,120.3,9.9,250.8,24,3.8,5.5,26.4,35.8,25.7
현재기후,2003,0.6,0.3,112.4,9.5,263.4,17.1,0,2.5,14.4,32.6,24.6
현재기후,2004,16.9,4.1,114.9,10.1,275.2,33.6,18,17.9,30.6,36.4,25.3
현재기후,2005,9.6,5.9,118.6,9.8,240.1,32.5,12.3,9.2,38.9,36,25.8
현재기후,2006,14.6,4.5,124.4,9.7,254.9,29.6,18.1,14.4,34.5,35.7,25.6
현재기후,2007,7,5.4,113.8,9.5,260.8,37.1,10.4,11,34.2,34,25.8
현재기후,2008,10.6,3,126,10.2,266.9,34.6,12.7,8.8,30.7,36.2,25.4
현재기후,2009,5.8,0.3,127.4,10.1,245.1,29.9,6.7,6.8,20.4,35,24.3
현재기후,2010,11.5,7.4,116.6,9.5,273.3,47.7,17.5,6.8,56.7,34.6,25.9
현재기후,2011,5.3,1.4,106.1,9.6,246.2,26.8,5.2,6.4,40,34.7,25
현재기후,2012,13.1,8.7,125.2,9.8,235.9,35.7,18.4,18.1,37.4,36.5,26.5
현재기후,2013,7.9,8.7,127.8,9.7,240.5,36.8,12.5,12.3,47.7,33.9,26.5
현재기후,2014,7.4,0.8,128.9,10.3,258.7,23.6,0.8,4.4,19.1,34.8,26
현재기후,2015,8.4,2.3,137,10.4,256,34.1,12.3,10.8,31.4,35.3,24.9
현재기후,2016,24.5,15.1,134.8,10.3,251.7,46,28.7,26,41.2,35.7,26
현재기후,2017,11.4,6.6,131.3,10.6,245.3,34.7,9.3,8.5,46.8,35.7,26.3
현재기후,2018,32.3,19.8,117.8,10.4,263.8,47,38.5,38.5,44.1,38.8,27.7
현재기후,2019,15.6,6,134.2,10.7,265.7,33,8.4,9.1,36.2,36.2,26.3
SSP1-2.6,2021,29,32,142.3,10,273.9,59,38.1,17.4,62.7,38.4,28.2
SSP1-2.6,2022,24.9,28,133.6,10.1,286.9,56.5,27.1,11.6,62.7,37.5,28.4
SSP1-2.6,2023,23.1,17.6,137.6,10.3,269.4,59.8,30.4,16.5,50,36.5,27.3
SSP1-2.6,2024,22.9,16.7,140.4,10.5,273.3,48.6,25.7,16,46.3,38.4,28
SSP1-2.6,2025,20.2,22.9,120.5,9.7,281.1,44.2,29.2,15.8,49.7,37.4,28.4
SSP1-2.6,2026,14.3,25.6,134.7,9.8,284.1,39.1,20.6,13.5,51.3,36.5,28.8
SSP1-2.6,2027,27.3,22.7,141.1,10.4,278.2,56.3,35.5,21.3,61.3,37.8,28.3
SSP1-2.6,2028,35.7,18.8,132.8,10.5,269.7,62.5,39.3,19.1,51.9,37.8,28
SSP1-2.6,2029,20.3,19.7,134.4,10,272.9,55,29,13.7,52.5,37.1,28.3
SSP1-2.6,2030,20.7,25.4,137.3,10.1,269.1,52.1,23.3,14,52.5,36.5,28.2
SSP1-2.6,2031,14.9,20.7,142.3,10.3,294.2,40.1,20.4,13.3,45.1,36.2,27.7
SSP1-2.6,2032,29.2,28,134.4,10.4,258.8,60.5,37.4,18.6,59.6,39.1,28
SSP1-2.6,2033,31,31.4,143.9,9.8,255.3,69.9,39.7,19.4,65.1,37.9,28.7
SSP1-2.6,2034,21.4,19.4,132,10.2,270.7,49.2,27.2,14.7,50.2,37.4,27.9
SSP1-2.6,2035,24.3,23.4,132,10,279.1,51.9,33,21.2,56.7,37.4,29.1
SSP1-2.6,2036,32.3,34.3,134.6,10,278.3,58.6,41.2,24.7,58.6,38.9,29
SSP1-2.6,2037,41.8,33.9,150.3,10.2,292.6,76.1,46,32.3,68.9,39.2,29.4
SSP1-2.6,2038,8.2,18.8,137.3,9.8,271.6,38.4,12,8.2,51.4,35,28.8
SSP1-2.6,2039,33.7,41.9,119.1,9.6,267.2,59.7,43.9,31.1,67.5,39.7,29.5
SSP1-2.6,2040,42.9,28.1,150.1,10.7,264.4,79.5,51.6,30.7,56.2,39.1,29.1
SSP1-2.6,2041,45.3,33.2,138.4,10.3,285.4,67.9,50.3,37.6,64.4,43.1,29.7
SSP1-2.6,2042,34,35.7,136.6,9.9,261.4,66,47.6,23.5,67.8,37.8,29.3
SSP1-2.6,2043,35,38.4,141,9.9,268.8,68.1,44,29.1,67.5,38.4,29.5
SSP1-2.6,2044,25.6,17.5,137.7,10.2,272.5,62,30.5,13,54.4,37.5,28.1
SSP1-2.6,2045,37.3,43.8,146.3,9.9,274.7,69.3,49.8,30.8,73.3,38.5,29.4
SSP1-2.6,2046,13.7,23.6,129.7,9.6,266.9,42.4,18.8,9.5,54.6,36.2,28.1
SSP1-2.6,2047,31.7,33.5,146.4,9.9,268.7,64.3,39.3,19.8,62.3,37.6,29.8
SSP1-2.6,2048,38.6,34,140.3,10.2,274.1,69,44.9,23.7,61.3,39.8,29.3
SSP1-2.6,2049,30.3,33.1,154.1,10.3,270.6,68.2,40.8,21.3,64.8,38.3,29.4
