시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,21,4.2,119.2,10.9,276.1,51.2,23.5,10.8,43.2,35.6,25.6
현재기후,2001,16.8,5.1,123.4,10.6,273.9,40.5,23.1,15.2,35.6,35.5,25.9
현재기후,2002,10.6,2.4,118,10.5,292.3,30.1,10.1,9.2,27.5,35,25.8
현재기후,2003,3.8,1.3,106.8,10,281.2,21.6,4.5,6,18.3,34,24.9
현재기후,2004,19.5,4.6,120.9,11,297.8,40,27.9,25.4,37.3,37.1,25.4
현재기후,2005,14.7,3.2,122.5,10.4,255.8,38.3,18.2,9.9,40.8,35.4,25.3
현재기후,2006,18.9,3.6,112.3,10.2,285.1,35.5,23.4,21.1,36.8,36.2,25.5
현재기후,2007,16.3,4.4,113.2,10.2,294.9,33.8,19,13.1,37,35.9,25.6
현재기후,2008,16,6.4,124.9,10.8,280.8,46.9,28,18.2,39.3,35,25.6
현재기후,2009,3.9,2.5,127.9,10.6,289.7,19.4,5.6,6.2,20.9,33.4,25.5
현재기후,2010,12.3,8.1,117.6,10,283.4,46.6,24.6,10.1,56,34.7,26
현재기후,2011,5.5,3.7,110,9.9,278.4,29.7,3.5,5.6,43.2,33.8,25.6
현재기후,2012,13.1,6.8,119.7,9.8,270.3,31.6,22.5,19.7,42.2,35.3,26
현재기후,2013,18.6,9.5,126.7,10.6,268.2,46.5,31.2,23.6,50.4,36.1,25.6
현재기후,2014,5.1,1.6,113.5,10.4,277.7,18.7,1.6,4.4,18.5,35,25.6
현재기후,2015,11,2.1,118.5,10.3,288.1,23.4,16.2,16.1,19.2,35,25
현재기후,2016,21.6,6.4,121.6,10,286.2,40.2,33,30.4,36.1,36.2,26
현재기후,2017,17.7,7.7,135.1,11.3,271.2,44.2,23,12.3,44.8,36.8,26.4
현재기후,2018,31.1,10.1,111.2,10.8,277.8,48.6,32.9,31.8,45.9,36.9,25.9
현재기후,2019,10.2,5.4,123,10.8,290.5,30.3,16,10.4,36.2,34.9,25.5
SSP1-2.6,2021,24.7,27.7,140.7,10.4,304.3,55.1,37.7,20.9,63.2,38.1,27.6
SSP1-2.6,2022,21,29,142.6,10.5,303,53.8,33.9,17.9,65.8,37.6,27.6
SSP1-2.6,2023,18.8,16.6,132.7,10.4,294.7,47.4,29.5,19.4,48.9,37.1,27
SSP1-2.6,2024,23.2,18,135.7,10.8,299.5,48.2,30.9,24.4,40.2,38.2,27.9
SSP1-2.6,2025,19.9,16.5,119.6,10.3,313.5,46.3,31.8,21.7,44.1,36.4,27.8
SSP1-2.6,2026,18.4,28.4,131.7,10.2,293.9,40.3,27.2,23.5,54.4,37.3,28.4
SSP1-2.6,2027,21.2,23.2,133.8,10.4,295.7,53.9,34.7,21.9,61,38.6,27.4
SSP1-2.6,2028,25.1,15.6,131,10.9,283.1,55.8,32.5,18.8,52.6,38.3,27.1
SSP1-2.6,2029,21.8,16.1,132.5,10.5,298,51.2,29.5,15.7,51.5,38.7,27.9
SSP1-2.6,2030,26,27.1,143.8,10.6,282.5,53,34.8,24.2,50,37.9,28.5
SSP1-2.6,2031,20.7,19.5,147.9,11,312,51.4,32.7,22,48.2,36.6,27.3
SSP1-2.6,2032,25.9,26.8,134.9,10.8,276.2,57.1,37.3,18,58.9,38,27.9
SSP1-2.6,2033,30.1,30.6,148.2,10.1,298,65.6,43.8,29.2,63.5,38,28.6
SSP1-2.6,2034,19.9,20,135,10.7,286.8,51.4,34.5,20.2,50.4,37.1,27.3
SSP1-2.6,2035,24.6,22.6,126.5,10.5,322,49,32.5,25.2,53.1,37.9,28.6
SSP1-2.6,2036,25.7,30.1,133,10.1,306,52.5,38.3,28.4,55.7,37.4,28.2
SSP1-2.6,2037,29.1,33.5,150.5,10.2,323.4,68.6,45,28.5,66.3,38,28.2
SSP1-2.6,2038,17,24.1,140.2,10.2,284.9,44.5,25,15.8,52.4,37.9,28.5
SSP1-2.6,2039,39.3,43.3,134.2,10.6,295.4,64.6,49.1,41.9,69.3,40.5,28.5
SSP1-2.6,2040,29.6,21.1,149.6,11,301.4,63.2,39.7,29.4,48.6,38,27.9
SSP1-2.6,2041,33.4,27.2,136.6,10.3,307.6,64.3,44.2,33.1,67.4,39.2,28.1
SSP1-2.6,2042,41.8,39.9,146.8,10.9,309.5,76.2,56.8,37.6,68.7,38.9,29
SSP1-2.6,2043,43.2,38.1,150,10.7,290.2,74.8,51.7,40.7,67.8,38.9,29
SSP1-2.6,2044,18.7,15.6,137.5,10.6,309.4,48.3,23.3,14,53.9,37.6,27.5
SSP1-2.6,2045,31.2,46.7,153.2,10.6,310,70.1,49.8,30,76.7,37.1,28.5
SSP1-2.6,2046,17.2,24.5,136.6,10.3,295.1,49.4,28.1,14.4,53.2,36,28.2
SSP1-2.6,2047,36.3,33.8,147.2,10.5,308.4,63.9,40.8,33.9,61.3,38.8,28.6
SSP1-2.6,2048,30,30.5,143.9,10.5,293.1,62.6,41.1,29.9,59.3,37.6,28.7
SSP1-2.6,2049,29.4,32.2,153.2,10.6,306.8,63.2,38.4,27.1,63.1,37.5,28.3
SSP1-2.6,2050,32.5,30.7,158.6,10.8,309.9,61.1,43.3,34,60.6,38.5,28.2
SSP1-2.6,2051,34.7,38.4,146.5,10.4,302.3,64.5,45.5,33.4,70.7,38.5,28.1
SSP1-2.6,2052,32.7,27.7,149.1,11.1,315.6,58.1,41.9,33.5,63.6,38.7,28.2
SSP1-2.6,2053,37.8,37.5,151.1,10.6,308.8,72.4,48.8,32.9,70.5,38.9,28.4
