시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,21.5,2.8,111.1,11.2,263.5,45.9,14.2,8.8,41.6,35.7,25.9
현재기후,2001,20.4,4.1,122.8,11.3,257.5,46.7,18.5,16.2,37.2,36.1,25
현재기후,2002,12,2.1,105.7,10.9,267.3,28.3,8.3,8.4,29,35,25.3
현재기후,2003,3.7,0.4,94.8,10.3,265.9,14.3,1.5,4.4,16.6,34.1,24
현재기후,2004,19.9,2.3,110.6,11.6,278,37,23.3,15.6,33.3,36.3,24.9
현재기후,2005,17.2,2.5,116.1,11.1,243.6,42.1,22.9,10.4,41.6,35.9,25.3
현재기후,2006,18.3,1.6,104.6,10.7,269.3,32.6,19.6,19.4,35,36.1,24.6
현재기후,2007,15.2,2.2,102.7,10.7,267,33.1,11.6,10.5,37,35.6,25
현재기후,2008,19.2,2.1,114.8,11.3,268.6,39.9,24.2,13.2,35.9,35.4,24.9
현재기후,2009,6.4,0.5,122.4,11.4,261.8,23.5,4.6,5.6,18.2,34.4,24.3
현재기후,2010,22.4,4.5,115.8,10.8,253.3,50.2,23.1,10,58.2,35.3,25.4
현재기후,2011,9.3,1.7,107.5,10.7,251.2,32,6.8,6.3,44.3,34.1,24.7
현재기후,2012,15.3,3.7,109.6,10.6,246.1,31.3,17.1,16.6,40.7,35.9,24.9
현재기후,2013,22.9,4.9,122.3,11.2,252.9,47.6,26.3,19.1,49.8,36,25.7
현재기후,2014,9.3,0.6,110.6,11.2,258.4,24.5,2.9,5.2,20.5,35.4,24.5
현재기후,2015,12.7,1.7,117,11.2,270.2,28.8,14.9,14.7,23.7,36.6,24.6
현재기후,2016,22.8,2.7,119.3,10.8,267,43.4,29.6,22.9,35.8,36.7,24.9
현재기후,2017,18.4,3,128,11.8,252.3,40,10.8,8.8,43,36.2,25.4
현재기후,2018,31.8,7.4,112.8,11.5,255.9,50.3,29.8,27.9,45.8,38,25.9
현재기후,2019,14.2,4.2,118.5,11.5,275.8,32.9,15.7,11.4,37.7,35.4,25.3
SSP1-2.6,2021,28.6,20.2,133.2,11,285.3,55.6,37.7,18,62.6,38.5,27.1
SSP1-2.6,2022,25.5,19.8,135.9,11.1,288.8,56.1,36.2,14.8,64.3,37.7,27.3
SSP1-2.6,2023,20.4,11,122.8,10.8,275.1,41.7,22.1,18.4,48.8,37.5,26.5
