시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,26,5.9,132.2,10.5,280.9,42.8,24.1,10,42.9,34.9,26.2
현재기후,2001,20.9,11.9,137.3,10.2,272.4,33.7,23.6,15,33.2,35.6,27.1
현재기후,2002,12.5,4.5,132.6,9.9,300.2,21.7,7,7,28,35.8,27.5
현재기후,2003,4.5,3.4,126.1,9.3,277.8,12.5,4.5,6.2,18.4,33.5,26
현재기후,2004,27.6,9.5,136.5,10.6,300.6,37.2,25.3,25.3,38.8,36.4,26.3
현재기후,2005,21.5,12.4,143.5,9.9,254.1,37.8,20.2,10.9,43.1,36.2,26.6
현재기후,2006,20.4,13.3,133.7,9.8,286.6,32.3,20.5,20.5,34.8,35.7,26.5
현재기후,2007,22.2,17.6,126.7,9.7,298,33,23.8,12.7,39.9,35.1,26.9
현재기후,2008,23.6,16,144,10.2,287.3,41.4,18.3,10.6,39.9,35.7,26.6
현재기후,2009,6.5,5.2,148.6,10.9,296.3,19.7,1,4.5,18.7,34.1,25.8
현재기후,2010,21.7,16.6,135.6,10,301.4,39.6,17.9,10,53.9,35.5,27.4
현재기후,2011,13.6,9.8,132.8,10.2,287.1,31.3,13.6,7.7,44.7,35.6,26.6
현재기후,2012,25.4,12.8,145.4,10.2,257.4,34.7,20.9,20.9,41.7,38,27
현재기후,2013,27.5,22.6,143.5,10.8,263.2,51.8,23.1,17.6,47.3,36.7,26.3
현재기후,2014,9.1,2.9,142.7,10.8,269.2,20.2,1.4,3.7,15.8,36.2,26.1
현재기후,2015,16.7,3.5,149.3,10.7,285.5,24.9,13,13,22.9,36.5,25.4
현재기후,2016,34.8,9,147.3,10.3,297.1,44,36.8,23.6,38.5,37.2,26.7
현재기후,2017,33,13,148.7,11.5,267.9,43.1,23.7,12,45.5,37.4,26.6
현재기후,2018,43.7,19.2,141.7,11.2,272.1,52.3,43,43,49.5,38.7,27
현재기후,2019,18,14,135.8,11.1,296.5,29.7,14,13.9,30.5,35.8,26.3
SSP1-2.6,2021,33.9,40.2,159.2,10.3,310,49.9,32.2,13.6,63.9,39.4,28.6
SSP1-2.6,2022,35,42.4,153.7,10.4,304.9,51.5,35.5,17.5,65.3,38,28.4
SSP1-2.6,2023,34.3,24.9,152.6,10.5,298.9,53,30.7,18,48.3,38.4,27.8
SSP1-2.6,2024,34.9,23.4,156.7,10.8,301.8,51.4,30.6,19.6,40.2,38.9,29
SSP1-2.6,2025,31.2,23.6,143,10.3,304.6,46.1,26.3,14.3,48.5,38,28.5
SSP1-2.6,2026,19.6,37.5,153.3,10,288.6,34.5,17.1,13.6,53.3,37.1,28.6
SSP1-2.6,2027,36.6,32.9,153.2,10.5,295.5,56.6,33,14.8,58.1,40.2,28.3
SSP1-2.6,2028,43.4,26.5,147,10.5,280,58.7,32.9,16.1,54.6,39.2,28.1
SSP1-2.6,2029,40.3,30.8,153.7,10.5,295.4,58.2,36.6,21.9,55.2,39.9,28.9
SSP1-2.6,2030,34,34.6,161.9,10.5,279.6,51.4,33.6,22.8,50.6,38.3,29
SSP1-2.6,2031,34.4,30.7,165.6,10.9,314.7,52.1,31.6,18.6,49.2,38.3,28.4
SSP1-2.6,2032,42.4,37.7,147.1,10.6,271.8,59.6,36.4,17.7,61.5,39.3,28.9
SSP1-2.6,2033,41.7,43.3,163.5,10,296.5,60.8,38.6,21.8,64.5,39.1,29.5
SSP1-2.6,2034,30.4,26.9,146.4,10.6,291.6,45.2,29.6,15.5,46.4,38.7,28.1
SSP1-2.6,2035,35,34,147,10.5,310.5,47.7,30.4,24.3,53.1,38.9,30.1
