시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,48.1,10.7,136,11.2,283.3,53.4,21.1,9.7,47.6,37.8,27.6
현재기후,2001,44.4,21.3,148.3,11.1,275.1,50.6,19,18.9,42.4,38.4,27.4
현재기후,2002,28.7,9.4,133.2,10.8,295.6,32.6,9.3,8.1,33.6,36.7,27.1
현재기후,2003,8.4,0.9,116.4,10,272.8,11.2,0.1,3.7,12,35.4,25.4
현재기후,2004,30.7,8,130,11.1,297.5,35,25.6,16.7,31.9,37.4,26.2
현재기후,2005,29,8.9,141,10.7,258.4,34.6,19.2,7.6,40.6,37.1,26.2
현재기후,2006,30.5,10.9,130.9,10.5,280.4,34.1,20.7,20.7,36.4,37.8,26.2
현재기후,2007,29.1,15.1,123.1,10.4,289.9,34.1,13.7,13,37.6,37.3,26.2
현재기후,2008,40.4,17.6,135.2,10.9,281.3,45.9,33.5,20.1,38.8,36.7,26.5
현재기후,2009,18.2,2,150.7,11.1,288.5,23.5,2,5.3,17.6,35.4,25.9
현재기후,2010,43.9,19.3,130.4,10.6,280.7,53.5,24.1,9.6,57.4,36.5,26.4
현재기후,2011,28.3,6.2,129.1,10.5,285.8,35.5,12.3,5.9,44.1,35.6,26.2
현재기후,2012,24.7,12.9,134.9,10.5,267.1,28.6,18.1,18.1,38.1,37.1,26.2
현재기후,2013,39.5,14.3,140.3,11.1,270.6,48,27.8,19.9,48.5,37,26.7
현재기후,2014,15.6,1.1,134.4,10.9,271.3,20.3,4.6,5.9,17.7,37.6,26.6
현재기후,2015,20.9,8.2,141.9,10.9,282.8,24.5,16,16,21.1,38.2,26
현재기후,2016,37.3,10.8,136.8,10.6,273.1,42.4,33.4,28.9,35.7,38.4,27.1
현재기후,2017,35.9,11.7,149.2,11.7,267,41.2,6.6,6.3,41.7,37.6,27
현재기후,2018,44.3,23.7,131.9,11.3,275.5,48.6,30.1,30,44,39.2,27.8
현재기후,2019,26.5,14.1,137.2,11.2,287.2,31.1,16.1,8.5,36.2,36.9,26.6
SSP1-2.6,2021,46.6,38.1,152.2,10.7,295.7,53,33.6,14.3,63.8,40.5,28.6
SSP1-2.6,2022,44.6,37.4,156.5,10.9,301.2,52,33.2,12,64.9,39.6,28.7
SSP1-2.6,2023,35.7,24.6,147.8,10.6,290.4,40.8,20.6,17.5,47.5,39.7,27.8
SSP1-2.6,2024,41.7,24.3,153.7,11.3,297.7,47,29.7,21.3,41.2,40.4,28.6
SSP1-2.6,2025,38.2,23.8,136.5,10.7,307.4,42.9,27.3,16.3,44.6,38.6,29
SSP1-2.6,2026,34.4,36.1,152,10.5,287,38.7,25.3,20.3,52.9,40.1,29.4
SSP1-2.6,2027,43.5,32,149.4,10.9,298.9,49.3,28.4,14.8,59,40.6,28.5
SSP1-2.6,2028,50.4,24.5,150.5,11.5,279.5,56.7,31.3,13.7,53.3,41.8,28.1
SSP1-2.6,2029,43.4,23.7,149.1,10.9,293.7,48.7,22.2,13.6,51.8,41.9,29.3
SSP1-2.6,2030,46.1,33.8,158.6,11.2,281.3,52.8,31.9,19.6,50.3,40.3,29.1
SSP1-2.6,2031,40.3,26,168.1,11.5,310.6,47.8,23.5,17.4,46.8,38.2,28.1
SSP1-2.6,2032,46.2,38,147,11.2,275.1,52.4,30.5,15.2,58,40.6,29.2
SSP1-2.6,2033,52.8,39.9,161.8,10.5,294.4,60.3,35.6,21.8,63.4,39.8,29.3
SSP1-2.6,2034,37.3,26.3,148.8,11.1,281,44.2,24.8,15.1,49.6,39.8,28.3
