시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,25.6,2.2,121.9,11,260.5,49.9,29.5,12.1,37.9,35.4,26
현재기후,2001,21.1,4,139.5,11,254.1,48.3,17.5,14,32,35.4,26.2
현재기후,2002,9.3,5.1,130.3,10.5,260.3,29,9.8,9.8,28.7,35.2,26.4
현재기후,2003,2.7,1,123.5,9.9,271.7,13.6,4.2,5.4,16.2,33.5,24.9
현재기후,2004,28.5,6.2,131.9,11.1,286.2,40.3,28.6,27.9,37.2,35.9,25.6
현재기후,2005,14.3,2.4,131.8,10.6,242.6,39.1,22.1,9.7,43.6,35.6,25.2
현재기후,2006,19.6,3.4,130.8,10.5,269.1,30.1,19,19,33.9,35.8,25.8
현재기후,2007,16.2,3,125.7,10.3,267.5,35.6,14.1,9.5,35.7,34.9,25.7
현재기후,2008,14.6,1.9,136,10.9,267.2,34.1,21.3,8,35.7,34.7,25.1
현재기후,2009,4.1,0,135.4,11.2,244.3,22.3,3.3,5.3,12.9,34.2,24.1
현재기후,2010,16.6,7.4,121.6,10.5,284.4,37.8,19,8.7,54.6,34.9,25.9
현재기후,2011,6.2,2.6,116.6,10.6,250.1,34.7,15,6.5,45.3,34.4,25.4
현재기후,2012,19.4,6.1,132,10.5,238.3,34,19.3,19.3,41.6,36.7,25.7
현재기후,2013,20.7,9.1,137.6,10.8,250,43.7,22,22,48.6,35,26.2
현재기후,2014,5.5,0.9,133.7,10.8,262.1,15.9,0,3.5,17,35.1,24.7
현재기후,2015,12.4,1.7,139.8,10.9,275.1,28,11.1,11.1,26.2,36,25.1
현재기후,2016,31,6.3,137.3,10.8,253.7,44.6,35,23,41.6,36.8,25.4
현재기후,2017,14,7.3,139.8,11.3,247.3,38.7,9,7.9,45.3,35.9,26.6
현재기후,2018,39.9,19.3,124.7,11.1,268.8,50.6,42.5,42.5,49.6,38.7,26.6
현재기후,2019,17.8,10.4,129.7,11.3,285.7,32,17,17,33.7,36,26.3
SSP1-2.6,2021,33.3,35,150.9,10.8,282.8,58.2,38.3,15.7,62.1,38.9,28.3
SSP1-2.6,2022,32.4,31.9,142,10.8,294.8,57.8,34.3,12.5,61.6,38.1,28.2
