시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,4.2,8.5,100.5,8.2,303.4,43.8,18,10.8,37,33.8,26
현재기후,2001,8.9,15.4,111.8,8,297.4,42.4,29.9,18.3,42.6,34.6,27
현재기후,2002,6.5,6.9,102.3,7.9,321.3,28.5,9.2,9.1,26.4,35,26.2
현재기후,2003,2.7,3.6,87.3,7.5,295.3,24.8,2.3,5.6,17,33.8,25.5
현재기후,2004,11.1,12.8,105.9,8.3,320.1,39.2,28.5,28.2,36.7,35.5,26.2
현재기후,2005,7.5,8.7,103.3,8,262.7,44.8,25.8,12,39.6,34.1,26.5
현재기후,2006,15,12.7,93.1,7.8,314.2,36.3,27.5,21,33.7,35.1,26.2
현재기후,2007,11.4,13.8,99.4,7.7,327.9,34.4,22.2,13.7,35.2,35.2,26.6
현재기후,2008,6,11.8,108.1,7.9,296.5,41.1,24.8,11,39.4,33.9,26.3
현재기후,2009,1.8,1.9,105.3,7.8,312.3,13.4,5.9,6,19.9,33.2,25.5
현재기후,2010,8.2,23.2,109.7,7.7,305.1,52,30.8,15.1,55.4,34.5,27.1
현재기후,2011,1.2,10.6,94.3,7.5,302.7,33.7,8.3,7.2,38.4,32.5,26.8
현재기후,2012,6.8,21.5,100,7.4,279.9,33.4,26.7,20.8,41.4,34.1,26.9
현재기후,2013,14.5,23.2,115.9,8,285.6,49.9,36.7,25.2,49.5,35.5,27.2
현재기후,2014,1.4,3.4,100.5,7.8,293.8,18,2.1,4.7,17.3,33.1,26
현재기후,2015,4.6,6,94.6,7.9,309.3,22.8,17,17,21.5,33.6,25.8
현재기후,2016,10.8,17.6,111.8,7.8,316.1,39.4,33.2,32.7,35.8,35.8,27.3
현재기후,2017,9.3,13.6,124,8.6,295.8,44.6,34.2,16.1,45,36,27.1
현재기후,2018,21.2,25.9,99.2,8.1,299.4,48.8,33.6,30.2,46.9,36.5,27.4
현재기후,2019,4.9,16.1,110.2,8.3,323.8,30.9,18.3,10.6,37.8,34.1,26.4
SSP1-2.6,2021,16.6,36.6,127.6,7.7,320.9,57.8,43.3,27.7,66.5,36.2,27.8
SSP1-2.6,2022,13.3,39.2,133.8,7.9,309.7,61.5,47.7,29.2,68.4,35.8,27.8
SSP1-2.6,2023,11.2,23.1,118.3,7.7,313.6,48.6,35.8,23.3,52.5,35.4,27.4
SSP1-2.6,2024,15.3,24.8,120.1,8.1,313.9,45.5,35.1,30.8,40.7,36.2,28.2
SSP1-2.6,2025,11.8,22.7,105.5,7.8,342.1,44.3,34.2,24.5,43.6,35,28.1
SSP1-2.6,2026,15.1,32.3,115.1,7.6,318.5,45.1,34.1,30.4,55.3,36.5,28.9
SSP1-2.6,2027,12.9,36,121.4,7.8,312.7,58.9,45.5,27.8,62.9,36.4,27.6
SSP1-2.6,2028,13.1,26,116.9,8.2,296.6,52.4,37.9,29.2,51.8,35.6,27.4
SSP1-2.6,2029,12.1,20.1,117.2,7.8,321,46.7,30.8,16,50.5,37.3,28.3
SSP1-2.6,2030,19.5,29.9,128.2,8,297,50.4,36.1,32.2,51.4,36,28.8
SSP1-2.6,2031,10.5,27.6,130.4,8.1,323.1,50.2,38.4,26.3,51.5,34.6,27.7
SSP1-2.6,2032,14,31,126.4,8.2,288.7,55.3,40.6,20.3,61.1,35.6,27.9
SSP1-2.6,2033,21.3,41.7,139.5,7.7,321.4,68.1,50.1,37.4,67.4,36.7,29.3
SSP1-2.6,2034,11.8,30.1,124.6,8.1,310.5,55.4,40,28.5,54,35.6,27.9
SSP1-2.6,2035,18.3,29.7,114.4,7.9,347.2,52.2,37,33.6,53.8,37,28.8
SSP1-2.6,2036,17.4,38.8,124.4,7.6,336.1,55.5,47.3,35.7,57.7,35.6,28.6
SSP1-2.6,2037,17.6,41.3,140.1,7.7,348.1,69.5,53.3,37.4,69.3,36.1,28.7
SSP1-2.6,2038,11.3,28.8,132.4,7.7,306.8,46.5,33.6,20.3,52.6,36.6,28.3
SSP1-2.6,2039,31,52.3,123.1,8.1,312.9,66.4,54.1,47.8,69.3,38.1,29.3
SSP1-2.6,2040,17.2,27.9,140.3,8.3,327.1,56.8,38.6,33.9,51.1,35.6,28.2
SSP1-2.6,2041,23.7,40.9,129.2,7.8,326.2,68.5,53.4,38.7,73.4,37,28.8
SSP1-2.6,2042,29.2,50.3,141.3,8.2,329.5,75.1,62.4,44.1,68.9,37.4,29.5
SSP1-2.6,2043,31.9,44.4,141.6,8.1,306.4,73.7,56,43.8,72.9,37.3,29.3
SSP1-2.6,2044,8.6,19.8,125.8,8,338.6,45.8,28.7,18.7,55.4,35.7,27.5
SSP1-2.6,2045,21.5,57.7,141.7,7.9,329.6,70.9,60.6,45.9,77.6,36.1,28.8
SSP1-2.6,2046,10.5,30.3,126.8,7.9,321.4,53.5,38.3,22.2,54.2,34.8,28.2
SSP1-2.6,2047,27.3,39.8,139,7.9,337.2,63.1,42.8,38.6,65.8,37.5,29.1
SSP1-2.6,2048,19.5,36,135,7.9,307.4,62.2,43.3,38,63.8,36.1,29.1
SSP1-2.6,2049,19.4,38.5,135.2,7.8,324.1,65.7,43.7,35.1,65.8,36,29
SSP1-2.6,2050,25.4,41.1,143.8,8.1,323.8,60.8,48.5,44.8,60.3,36.5,29.3
SSP1-2.6,2051,25.7,47.5,134.8,7.9,314.2,66,50.7,41.4,72.1,36.4,28.7
SSP1-2.6,2052,21.8,39.9,133.9,8.4,337.6,60.1,46.1,39.4,64.2,36.7,28.7
SSP1-2.6,2053,28.1,49.2,139,8,329.1,73.5,56.2,44.4,75.2,37,29.4
SSP1-2.6,2054,13.2,31.5,125.1,7.9,322.9,48.7,32.3,31.3,51.5,36.1,28.5
SSP1-2.6,2055,16.7,50.3,136,7.6,303.5,71.2,51.3,40.1,79.5,35.6,29
SSP1-2.6,2056,25.6,48.7,135,7.9,341,68.9,55.9,39.5,72.2,37,29.4
SSP1-2.6,2057,30,39.5,137.4,7.8,303.4,67.6,48.7,46.2,57.6,38.2,29.8
SSP1-2.6,2058,20.2,42,131.8,7.7,320,66.9,52.4,41.3,67.1,36.5,29.8
SSP1-2.6,2059,5.9,18.6,125.1,8.1,299.3,52,28.3,13.5,55.1,34.5,27.9
SSP1-2.6,2060,8.9,17.4,140.7,7.9,308.7,58.1,32.8,12.7,59.9,35.6,26.8
SSP1-2.6,2061,21.9,43.9,138.7,7.9,325,64.9,54.9,42.7,63,36.7,29
SSP1-2.6,2062,13.8,29.1,138.2,7.8,352.5,56.5,37.8,31.6,63.2,36.1,28.9
SSP1-2.6,2063,41.7,55,147.5,8.3,328.8,87.8,75.9,66.2,74.2,38.6,29.3
SSP1-2.6,2064,23.2,45,143.4,7.9,314.9,80,64,40.2,81.5,36.5,28.7
SSP1-2.6,2065,16.7,27.9,140.1,7.9,333.3,56,40.2,29.4,56.7,35.6,28.7
SSP1-2.6,2066,18.7,41.7,141,7.7,332.7,61.6,49.7,41.3,59.7,35.6,29
SSP1-2.6,2067,14.5,29.2,138.8,7.8,296.3,58.5,34.9,26.8,62,35.9,29
SSP1-2.6,2068,12.7,33.6,129.8,7.8,308.1,55.1,42.3,25.7,54.8,35.4,28.3
SSP1-2.6,2069,18.7,44.7,138.5,7.9,318.3,65,40.7,35.4,69.1,35.9,29.1
SSP1-2.6,2070,18.3,38.4,136.4,8,312.4,58.9,45.6,30.2,58.3,38.2,29.2
SSP1-2.6,2071,16.3,43.9,144.7,8,305,66.2,50.3,38.2,66.1,35.6,28.1
SSP1-2.6,2072,6.8,18,139.3,8.1,323.5,45.9,24.6,14.2,48.1,34.6,27.8
SSP1-2.6,2073,18.6,39.5,134.4,7.7,315.1,62.8,43.2,25.6,68.3,35.4,29.1
SSP1-2.6,2074,26.8,43,146.4,7.9,349.5,73.6,52,46.4,71.7,37.5,29
SSP1-2.6,2075,16.3,32.8,138.9,7.7,334.3,63.2,41.9,31.5,62,35.8,28.3
SSP1-2.6,2076,36.1,55.3,156.6,7.9,302.1,84.8,63.7,54.1,81.5,36.3,29.5
SSP1-2.6,2077,25.9,53.1,140.4,8,327.8,86,69.4,57.7,80.2,37,28.5
SSP1-2.6,2078,19,40.4,138,8,317.5,65.7,48.8,38.9,66.9,35.9,28.3
SSP1-2.6,2079,21.6,41.4,143.2,8.1,346.5,68.4,51.3,32.6,69.9,36.5,29.2
SSP1-2.6,2080,11.7,28.9,141.3,7.8,302.3,58.8,38.8,28.1,71.6,35.1,27.7
SSP1-2.6,2081,25.2,46.5,140,8.3,322.3,74.2,61.5,45.1,75.7,37.1,29.4
SSP1-2.6,2082,21.3,34.1,139.4,7.9,330.3,61.5,47.7,31,57.7,36.8,28.7
