시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,25.8,9.3,120.2,9,270.2,48.1,20.6,11,43.7,35.4,26.3
현재기후,2001,15.9,9.1,129.9,9,257.4,47.8,17.6,9.2,37.5,36.1,26.1
현재기후,2002,7.1,5.4,129.5,8.9,262.4,25.3,3.6,5.3,26.3,36.3,26.6
현재기후,2003,1.9,1.2,120.6,8.5,270,16.4,0,2.1,13.3,33.3,25.2
현재기후,2004,18.9,11,118.3,9,284.2,32.7,17.9,17.9,29.2,36.7,26.1
현재기후,2005,13,14.8,123,8.8,244.4,32.1,11.6,9.5,39.1,36.6,27.1
현재기후,2006,16.3,12.5,129.9,8.7,268.3,29.4,18.6,13.5,34.1,36.2,26.5
현재기후,2007,12.4,13,119.5,8.6,275.3,39.9,9.4,10.2,34.3,34.6,26.5
현재기후,2008,13.3,7.3,130.2,9.1,279.8,32.6,10.6,8.5,28.8,36.8,26.3
현재기후,2009,8.2,2.3,130,9,257.7,28.9,6.8,6.9,21.8,35.6,25.3
현재기후,2010,14.2,16,119.2,8.4,286.7,45.1,17.9,6.1,53,34.8,26.7
현재기후,2011,7,3.6,109.7,8.3,251.7,24.1,0.7,4.5,38.4,34.9,26
현재기후,2012,15.6,15,130.3,8.7,248.7,35.3,18.2,18.2,33.7,36.8,27.7
현재기후,2013,11.9,15.5,130.7,8.7,251.5,36.7,12,12,48,34.4,27.6
현재기후,2014,9.6,2.2,133.3,9.1,265,24.5,0.1,4.1,21.3,35.1,27.9
현재기후,2015,11.2,7.3,141.4,9.3,263.2,34,13,12.6,32.9,35.6,25.9
현재기후,2016,28.3,27.6,138.9,9.2,253,46.4,26.9,25.6,42.3,36.4,27.1
현재기후,2017,14.9,12.3,134.4,9.3,249.6,33.9,8.9,8.9,45.3,36.1,27.3
현재기후,2018,36.4,26.2,123,9.3,270.5,47.7,39.6,39.6,45.4,39.7,29.7
현재기후,2019,19.2,13.6,139.9,9.6,278.1,35.5,6.8,7.5,38.5,37.1,27.7
SSP1-2.6,2021,33.5,40.9,145.5,8.9,283.5,58.1,35.7,16.6,64.6,39,28.9
SSP1-2.6,2022,30.9,38.1,137.5,9,299.7,57.2,23.8,10.3,66.7,37.9,29
SSP1-2.6,2023,29.7,26.1,141.2,9.2,275.3,60.6,29.3,16.1,52.3,36.9,28
SSP1-2.6,2024,27.7,24.1,145.4,9.4,281.4,48.5,24.3,15.4,48.3,38.7,28.9
SSP1-2.6,2025,24.1,30.6,125.9,8.6,288.5,44.7,27.3,15.1,50.4,38.1,29.2
SSP1-2.6,2026,18.7,31.6,140,8.7,285.9,40.6,22.5,13.5,51.9,37.1,29.4
SSP1-2.6,2027,31.8,32.7,144,9.3,287.3,55.2,34.5,18.5,61.3,38,28.9
SSP1-2.6,2028,41.7,27.9,135.9,9.3,274.8,62.9,40.8,19,53.5,38.1,28.9
SSP1-2.6,2029,24.9,28.3,138.4,8.9,282.4,55.7,29,13.2,53.6,37.8,28.8
SSP1-2.6,2030,25.7,31.9,139.8,9,272.7,52.8,21.4,12.5,55.2,37,28.9
SSP1-2.6,2031,18.6,26.5,146.3,9.2,304.6,39.3,18.5,12.4,45.6,36.5,28.3
SSP1-2.6,2032,34,37.9,136.9,9.3,269.5,60.3,38,19.5,61.2,39.6,28.7
SSP1-2.6,2033,37.8,41.4,148,8.7,263.2,69.7,37.5,17.8,67.8,38.4,29.4
