시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,12.5,0.2,108.4,11.6,242.4,38.8,14.5,11.6,29,34.4,24.2
현재기후,2001,16.4,2.2,137.1,11.8,250.3,48.5,21.9,11.5,35,35.2,25.7
현재기후,2002,5.3,1.4,125.9,11.2,249.4,27.2,8.5,8.6,26.7,35.1,25.4
현재기후,2003,1.1,0,119.5,10.6,262.3,12.2,0,4,16.9,32.8,24.4
현재기후,2004,21.9,0.8,126.1,11.8,279.7,35.7,27.4,21,37.8,35.5,25
현재기후,2005,12.9,0.3,130.1,11.4,237.8,38.2,21.7,9.6,43.5,35.8,24.6
현재기후,2006,17.8,1.1,130.2,11.2,266.8,29.5,19,18.7,33,35.6,25.7
현재기후,2007,11.3,1,124.8,11,260.6,33.3,7.3,7.5,35.5,34.5,25
현재기후,2008,13.1,1,131.8,11.6,252.5,30.2,18.2,10.3,35,34.8,24.9
현재기후,2009,2.9,0.3,136.3,11.8,242.1,28.4,6.4,6,14.3,33.9,24.9
현재기후,2010,18.3,5,121.8,10.9,270.3,42.4,19.9,10.7,59.1,35.2,25.6
현재기후,2011,7.4,0.9,115.1,11.2,244.4,34.9,17.8,6.4,46.5,34.7,24.9
현재기후,2012,18,1.9,135.6,11.2,231.4,35.4,20.1,20.1,42.9,36.7,25.5
현재기후,2013,18.6,7,136.7,11.6,238.3,44.5,22.1,22.1,47.1,35,25.6
현재기후,2014,6.3,0,134.6,11.7,261,18.8,0,4,18.3,34.7,24.2
현재기후,2015,12.3,0.5,139.7,11.8,268.7,32.7,12.1,12.1,26.3,36.2,24.9
현재기후,2016,32.8,0.1,139.5,11.8,251,47.1,34.8,23,40.3,36.3,24.7
현재기후,2017,15.6,4.3,140.3,12.2,243.3,41.4,17.1,8.4,47.9,35.7,26.1
현재기후,2018,40,10.2,125.4,11.9,269,51.1,41,41,49.6,38.8,26.1
현재기후,2019,16,4,130.9,12.1,274,32.7,17,17,34.8,35.9,26
SSP1-2.6,2021,33.6,28,149.4,11.6,277.3,59.1,38.2,17.1,61.7,38.5,28
SSP1-2.6,2022,30.3,26.7,139.4,11.5,282.8,57.7,34.8,14.5,59.5,37.5,28
SSP1-2.6,2023,28.5,14.4,140.4,11.6,263.9,52.6,30.9,16.2,48.7,37.2,26.7
SSP1-2.6,2024,30.2,15.1,145.7,12,273.2,50.7,32.8,18.6,42.2,37.9,27.9
SSP1-2.6,2025,29.1,18.2,128,11.4,279.1,46,32.2,22.9,48.3,38,28.1
SSP1-2.6,2026,17.5,27.9,139.8,11.2,285.8,38.2,17,14.6,52.2,36.6,28.3
SSP1-2.6,2027,34.2,21.5,145.1,11.9,279.9,60.3,38.2,19,59.9,39.1,27.9
SSP1-2.6,2028,42.6,14.1,143.3,12,270.2,65.5,39.9,18.4,53.1,39.1,27.2
SSP1-2.6,2029,32.8,17.7,144.1,11.7,271.1,62.2,29.9,16.7,50.6,38.6,28.1
SSP1-2.6,2030,27.8,25.5,150.8,11.7,268.7,54,33.5,15.6,51.8,37.7,28.3
SSP1-2.6,2031,23.8,19.3,155.4,12,294,48.8,23.4,14.6,44.3,36.8,27.5
SSP1-2.6,2032,32.6,26.1,139.1,11.7,261.3,58.7,33.6,13.9,56.3,38.1,28
SSP1-2.6,2033,37,27.9,151.1,11.2,254,70.8,43.8,23.1,62.2,38.5,28.2
SSP1-2.6,2034,24.3,17.4,136.1,11.7,272.3,50,27.3,14.3,45.7,37.8,27.6
SSP1-2.6,2035,30,20.1,136.1,11.5,274.2,52.7,33.7,24,54.5,37.8,29
SSP1-2.6,2036,37.8,31.4,141.2,11.6,279.3,59.5,37.5,28.9,57.6,39.1,28.5
SSP1-2.6,2037,42.6,31.3,156.2,11.6,292.9,70.6,44.7,28.6,64.4,38.3,28.1
SSP1-2.6,2038,15.5,21,142.7,11.2,270.7,38.3,16.3,12.1,50.7,36,28.9
SSP1-2.6,2039,42.9,42,130.5,11.2,264.5,63.3,45.2,36.5,67.9,41.1,28.7
SSP1-2.6,2040,46.4,23.2,153.7,12.2,258.7,75.5,41.3,28.5,50.9,39.6,28.3
SSP1-2.6,2041,45.6,26.1,143.3,11.6,285.4,64.2,45.7,34.9,63.6,41.5,28.5
SSP1-2.6,2042,48.3,37.1,144.1,11.6,260.9,72.1,51.7,32.4,67.4,39.8,29.2
