시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,6.4,3.3,99.6,9,297.1,35.4,6.9,6.9,33.9,34.5,26.1
현재기후,2001,13.2,10.2,109,8.8,294.5,45,24.5,20.7,42.5,35,26.7
현재기후,2002,8.1,3.7,101.9,8.9,317.6,25,8.2,8.2,29.6,35.2,26.3
현재기후,2003,4.7,2.4,90.4,8.5,293.5,22.7,0.1,4.8,20.8,34.9,25.3
현재기후,2004,13.8,7.3,109.3,9.4,316,38.9,24.6,14.2,35,36,26.3
현재기후,2005,13.9,5.9,112.9,9.2,262,47.4,31.9,11.6,42.9,35.1,26.7
현재기후,2006,16.9,7.3,94.2,8.8,313.3,38.9,21.4,21.3,35.3,35.4,25.9
현재기후,2007,14.9,10.4,103.7,8.8,325.5,36.9,24.2,13.2,36.8,35.3,26.5
현재기후,2008,10.8,5.3,109.5,9.1,291.7,42,26.3,9.1,39.2,34.9,26
현재기후,2009,3.8,1.4,109.1,9.3,307.1,20.3,6.4,6,17,33.7,25.7
현재기후,2010,15.3,9.6,114.8,9.2,303,55.2,28.2,11.1,52.4,35,26.5
현재기후,2011,3.2,2.1,100.7,8.8,292.8,32.2,7.1,8,32.8,33.3,25.4
현재기후,2012,11.3,12.9,101.6,8.6,277.7,36.5,23.8,17.5,41,34.5,26.1
현재기후,2013,23.9,11.7,119.8,9.5,281.5,53,35,20.6,45.6,37.1,26.3
현재기후,2014,4.8,2.7,107.1,8.7,288.5,25.1,5.5,5.9,20,34.3,25.7
현재기후,2015,10.5,4.1,96.5,8.7,306.1,24.9,18.2,17.8,25.4,34.9,25.3
현재기후,2016,7.6,7.3,103.9,8.4,311.9,33.9,26.7,19.5,33.9,35.2,26.5
현재기후,2017,9.3,3.8,117.5,9.2,293.4,32.4,14.7,11.9,38.2,34.7,25.8
현재기후,2018,16.6,15.1,98.5,8.6,287.9,43.4,29.1,27.9,45.2,36.1,26.9
현재기후,2019,3.1,6.4,101.2,8.8,314,26.9,16.7,10,38.9,33.5,26
SSP1-2.6,2021,19.3,28.9,126.9,8.7,318,57.5,42.2,26,66.8,36.8,27.4
SSP1-2.6,2022,15.2,28.9,134.5,8.9,307.8,60.7,46.5,26.4,69.2,37.1,27.5
SSP1-2.6,2023,12.7,15.3,116.3,8.6,310.1,43.3,30.6,22.1,54.5,35.5,27
SSP1-2.6,2024,16.2,17.9,119.1,9.1,310.4,44.9,34.8,28.8,41,37.5,28
SSP1-2.6,2025,14.3,16.4,106.9,8.8,336.7,42.7,32.7,22.8,43,36.1,27.5
SSP1-2.6,2026,17.9,27.3,117.4,8.6,313,44.8,34,30.8,56,36.6,28.2
SSP1-2.6,2027,14,24.6,117.8,8.7,309.7,53.2,34.6,21,65.5,36.3,27.3
SSP1-2.6,2028,15,16.7,119,9.3,294.2,49.2,33.3,23.3,53.8,37,27.2
SSP1-2.6,2029,13.4,14.3,120.7,8.8,313.6,42.7,20.5,10.7,51.4,37.6,27.7
SSP1-2.6,2030,22.5,26.8,131.4,9,293.2,49.5,34.2,27.9,50.9,37.6,28.4
SSP1-2.6,2031,11.5,19.2,132.7,9.1,320.5,45.3,28.1,22.9,53.3,34.7,27.1
SSP1-2.6,2032,16.6,26.4,128.3,9.3,283.7,50.6,33.1,18.3,61.7,37.1,27.3
SSP1-2.6,2033,23.3,31.7,138.6,8.6,318,63.9,44.3,31.1,68,36.5,28.5
SSP1-2.6,2034,13.7,21.6,125.7,9.1,304.8,52,35,27.1,55.1,36.5,27.3
SSP1-2.6,2035,19.1,22.2,116.6,9,343,50.9,35.3,30.7,55.1,37.4,28.4
SSP1-2.6,2036,16.9,31.3,124.1,8.5,328.7,53.1,43.7,30.6,58.9,36.9,28
SSP1-2.6,2037,16.8,34,140.6,8.6,346.7,66.7,46.8,28,72.7,38.6,28.1
SSP1-2.6,2038,14.1,22.2,134.5,8.7,301.7,45.1,27.5,14.8,56.1,37.7,28
SSP1-2.6,2039,33.1,42.3,123.5,9.2,308.1,65.8,50.9,42.5,69.8,38.4,28.2
SSP1-2.6,2040,18.3,20.5,140.8,9.3,322.3,50.2,31.9,28.8,51.2,36.6,27.6
SSP1-2.6,2041,20.8,29.6,127.3,8.7,321.9,60.4,43.7,30.8,74.3,37.4,27.8
SSP1-2.6,2042,32.1,41.3,140.1,9.4,324.5,72.3,54.5,34.8,69.7,37.9,28.9
SSP1-2.6,2043,34.8,37.2,142.3,9.2,303.1,71.4,53.9,40.5,74.6,38.3,28.9
SSP1-2.6,2044,10,14.4,123.7,9,333.5,38.9,21.7,13.9,55.6,36.1,27.1
SSP1-2.6,2045,22.9,50.1,145.4,8.9,324.6,69.1,54.5,38.7,79.9,36.8,28.2
SSP1-2.6,2046,15.2,25.1,129.2,9,315.8,52.6,32.8,19.3,55,35.9,27.9
SSP1-2.6,2047,31.9,34.4,141.3,9,331.9,61.6,40.5,36.7,67.2,39.8,28.5
SSP1-2.6,2048,19.5,29.4,133.7,8.8,306.2,56.6,38.6,32.3,64.9,37,28.7
SSP1-2.6,2049,19.7,31.8,139.2,8.8,317.9,59.4,39.2,29.2,66.4,36.4,28.3
SSP1-2.6,2050,25.6,32.7,145,9.1,320.6,56.9,45,42.7,61.4,37.2,28.7
SSP1-2.6,2051,27.9,40.1,138.5,8.9,311,68.3,50,37.7,73,37.1,28.2
SSP1-2.6,2052,23,28.9,136.6,9.5,332.1,58.6,42.2,31.6,65.9,37.4,28
SSP1-2.6,2053,32.3,40.8,140.6,9.1,322.9,74.5,55.8,44.1,76.7,38,28.4
SSP1-2.6,2054,13.2,26.3,125.9,8.9,314.4,46.6,28.1,26.9,54.4,36.3,28.1
SSP1-2.6,2055,17.6,42.1,138.3,8.5,300.4,64.6,45.1,35.2,83.5,36.1,28.4
SSP1-2.6,2056,25.9,38,136.4,8.8,336,66.4,52,36.9,73.1,37.5,28.6
