시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,10.8,5.4,107.9,8.5,273.1,48.7,22.5,11.8,46.7,34.8,25.4
현재기후,2001,9.2,4.8,116.3,8.7,255.2,50.5,23.2,11.3,37.7,34.7,25.8
현재기후,2002,4.3,2.4,109,8.6,249.8,27.1,2.8,5,28,35.9,25.8
현재기후,2003,0.1,0.1,104.4,8.4,264,21.7,0.3,3.5,13.4,31.6,24.5
현재기후,2004,8.6,1.8,107.4,8.9,273.8,37.4,19.3,18.9,28.8,35.2,25
현재기후,2005,4.6,5.7,108.3,8.7,245.1,34.7,16.9,9.6,36.7,34.9,25.5
현재기후,2006,6.9,1.4,106.3,8.4,250.5,33.5,20.6,19.3,34.8,34.1,25
현재기후,2007,0.9,4.6,103.8,8.1,273.2,30.9,12.4,12.1,31.3,33.2,25.7
현재기후,2008,4.5,2.3,108.9,8.7,281.4,35.5,17.1,11.1,26.2,35.6,25.7
현재기후,2009,2.1,0.2,107.4,8.6,248,26.6,9.2,7.8,21,33.9,24.4
현재기후,2010,3.7,8.1,103.6,8.1,275.8,40.7,13.3,6.8,54.2,33.8,26.2
현재기후,2011,3.8,0.4,92.6,8.2,249.7,27,8.8,9.6,36.7,33.9,24.8
현재기후,2012,9,11.1,111.9,8.6,239.5,37.2,19.2,18.7,39.9,35.9,27.3
현재기후,2013,2.7,11.6,115.1,8.4,250.2,33,14.1,14,46.6,33.2,26.9
현재기후,2014,4.8,1.4,113.5,8.8,261,25.7,1.8,5.4,21.8,35.3,26.9
현재기후,2015,3.2,3.1,121.1,8.9,258.9,33.3,16.3,10.2,34.9,34,25.2
현재기후,2016,14.6,15.6,124,8.8,254.5,42.7,29.6,26.7,40.2,34.7,26.3
현재기후,2017,6.4,7.4,115.5,9,245.5,32.6,9.8,9.2,46.4,34.7,26.4
현재기후,2018,24.4,21.8,105,8.9,267.1,45.7,38.9,38.9,45.3,37,27.5
현재기후,2019,10.7,7.6,117.8,9.2,264.2,35.1,14,11.6,38.2,36.3,26.7
SSP1-2.6,2021,17.2,29.7,131.6,8.5,277.7,58.9,40.5,24.5,64.6,35.9,28.1
SSP1-2.6,2022,14,24.2,122.5,8.7,288.7,59.4,41,22.4,63,36.1,27.8
