시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,11.8,5.1,113.3,9.8,277.6,46.2,25,11.8,41,34.5,25.7
현재기후,2001,14.9,8.6,123.2,9.8,271.5,41.4,27.6,16.6,34.1,35.2,26.6
현재기후,2002,6,2.5,119,9.5,287,24.9,7.5,7.4,25.9,34.5,26
현재기후,2003,2.2,2.8,107,8.9,275.6,19.2,8.1,6.4,20,33.2,25.2
현재기후,2004,17.8,5.1,118.3,10.1,296,38.6,26.8,26.6,39,35.7,25.4
현재기후,2005,10.7,6.7,128.9,9.5,249.4,39.3,20.9,10.8,42.8,35,25.9
현재기후,2006,16.6,9,119.3,9.6,286.7,38.2,24.7,22.9,37.8,35.4,26
현재기후,2007,12.6,10.1,112.4,9.4,292.7,34.7,25.4,13.4,39.2,34.6,26.3
현재기후,2008,11.6,7.1,120.6,9.7,287.3,44.7,21.5,11.9,38.3,34.8,25.8
현재기후,2009,2.4,2.5,125.9,10,280.3,21.9,3.8,6,20,33.2,25.5
현재기후,2010,9.1,11.5,117.7,9.3,297.9,44.8,27.3,10.2,56.4,34.6,26.5
현재기후,2011,6.7,5.9,113.6,9.3,270.7,32.2,12.2,7.5,42.7,34.9,26
현재기후,2012,12.6,9.6,122.8,9.2,259.3,31.9,20.7,18.7,41.9,35.9,26.6
현재기후,2013,16.5,12.5,126.8,9.9,262.5,47.8,29.3,22.5,49.2,35.7,25.9
현재기후,2014,2.2,1.7,116.5,9.8,269,15.2,0.7,3.7,16.4,34.2,25.6
현재기후,2015,7.6,1.9,125.2,9.8,285.9,23.4,14.2,14.1,20,34.9,25
현재기후,2016,23.4,5.7,123.8,9.6,288.2,43.5,35.7,31.4,36.7,35.9,25.9
현재기후,2017,13.6,8.4,133.7,10.7,268.2,43,26.7,15.7,43.8,36,26.2
현재기후,2018,30.2,14.2,119.9,10.3,274.3,50.1,40,39.9,48.1,36.9,26.3
현재기후,2019,8.8,7,121,10.3,291.7,28.2,17.4,14.6,31.9,34.5,25.9
SSP1-2.6,2021,18.9,30.8,142.6,9.6,303.5,54.5,40.3,23.4,63.3,36.8,27.8
SSP1-2.6,2022,17.9,32.3,137,9.7,303,53.5,38.9,25.2,65,36.7,27.6
SSP1-2.6,2023,17.4,18.2,137,9.7,295.2,53.4,35.4,22.4,50,36.4,27.1
SSP1-2.6,2024,19,19.6,136.5,10,298.6,49.3,32.9,25,40,36.9,28
SSP1-2.6,2025,15.7,18.9,120.7,9.7,305.8,47.5,35.3,22.7,45.7,36,27.9
SSP1-2.6,2026,13.4,30.5,132.5,9.4,294,38.5,25.7,22.3,53.4,35.8,28.3
SSP1-2.6,2027,20.5,25.5,136.6,9.8,293.8,56.3,39.3,27.6,59.1,38.3,27.7
SSP1-2.6,2028,23.7,19.5,129.5,9.9,284.3,56.3,35.4,24.2,52.7,37.1,27.3
SSP1-2.6,2029,21.6,20.9,133.6,9.8,295.2,56.4,39,22.4,53.8,37.8,28
SSP1-2.6,2030,20.6,28.9,142,9.8,280.1,50.8,37,26.9,50.7,36.9,28.4
SSP1-2.6,2031,19.4,24.2,145.5,10.1,313.3,52.6,37.4,25.2,48.5,36.5,27.6
SSP1-2.6,2032,23.9,27.7,132,9.9,273.2,59.9,42.9,24.6,60,37.4,28
SSP1-2.6,2033,24.8,34.9,146.4,9.4,294.5,64.5,44.8,32.4,65,37.7,28.8
SSP1-2.6,2034,16.2,22,131.8,9.9,294.9,49.9,37.3,21.1,48.5,36.4,27.4
SSP1-2.6,2035,23.2,25.8,128,9.7,312.7,49,34.5,31.4,53.2,37,28.9
SSP1-2.6,2036,25.4,34.7,133.9,9.5,302.9,53.8,42.7,34.4,57.5,37.6,28.4
SSP1-2.6,2037,30.8,37.8,149.3,9.7,318.9,70.3,51,38.2,67,37.7,28.4
SSP1-2.6,2038,13.6,26.9,140.5,9.4,283.1,44.2,26.7,20,53.1,36.4,28.6
SSP1-2.6,2039,34.4,48.2,130,9.7,293.9,63,51,44.7,68.7,39.3,28.7
SSP1-2.6,2040,28.5,24.9,148.4,10.1,291.4,67.5,46.2,33.8,50.8,36.8,28.1
SSP1-2.6,2041,33.8,34.2,138.5,9.7,306,66.8,48,37.8,67.6,39.3,28.6
SSP1-2.6,2042,37.3,44.4,144.9,10,303.7,75.7,58.5,41.1,68.7,37.8,29.1
SSP1-2.6,2043,37.6,42.4,145.5,9.8,289.7,72.7,51.2,42,69,37.5,28.9
SSP1-2.6,2044,18.6,22.7,138.7,9.9,302.6,56.5,32,20.4,53.9,36.1,27.6
SSP1-2.6,2045,31.8,49.2,148.2,9.8,302.8,73.8,56.3,41.6,75.4,36.8,28.4
SSP1-2.6,2046,12.3,26.9,133.5,9.4,293.4,49.2,33,17.8,54.5,35.2,27.9
SSP1-2.6,2047,32.2,36.1,146.1,9.8,306.6,65.2,44.9,38.1,59.9,37.2,28.8
SSP1-2.6,2048,32,35.1,143.3,9.7,290.2,64.2,45.3,37.1,59.7,37.2,29
SSP1-2.6,2049,30.5,37.3,153.7,9.8,302.8,69.2,46.8,31.6,64.3,37.7,28.7
SSP1-2.6,2050,31,36.3,155.4,10,305.4,64.3,47,35.3,63.8,38.3,28.5
SSP1-2.6,2051,28.6,40.9,144.4,9.6,304.3,64,45.8,34,68.6,37.4,28.2
SSP1-2.6,2052,31.4,33.9,145.5,10.2,318.5,57.4,42.8,35.4,61.8,38.1,28.5
SSP1-2.6,2053,32.3,39.4,147.3,9.8,310,68.3,47.2,36.4,68.7,37.9,28.9
SSP1-2.6,2054,18.3,29.9,135.6,9.5,295.8,49.2,31.8,27.3,53.9,36.4,28.6
SSP1-2.6,2055,22.3,44.2,145.5,9.2,286,66.7,44.3,30,74.8,36.9,28.5
SSP1-2.6,2056,32.3,39.6,145.8,9.7,308.8,67.9,51.5,36.4,69.9,38.3,28.9
SSP1-2.6,2057,39.6,34.5,147.3,9.8,276.7,69.4,49.2,42.2,55.6,39.8,29
SSP1-2.6,2058,31.7,38.1,143.1,9.5,304.1,68.3,54.7,40.3,66.1,38,29.5
SSP1-2.6,2059,19.9,19.8,130.9,9.8,278.8,62.9,44.9,25.7,54.4,36,28.1
SSP1-2.6,2060,20.6,17.7,149.3,9.7,273.8,65.9,38.9,18.5,58,36.2,27.2
SSP1-2.6,2061,28.4,38.3,145.2,9.7,311.3,64,46.8,39.1,63.2,37.4,28.7
SSP1-2.6,2062,17.9,27.9,144,9.5,317.1,53.6,32.4,25.1,58.9,36,28.5
SSP1-2.6,2063,50.9,44.9,158.7,10.3,303.4,84,66.8,52.8,70.5,39.5,29.1
SSP1-2.6,2064,44.6,41.7,152.8,9.9,287.4,82.7,66.3,46.6,75.5,38.6,28.6
SSP1-2.6,2065,26.4,24.7,152.2,9.7,311.2,63.9,38.9,28,55.3,37,28.4
SSP1-2.6,2066,29.5,40.5,151.6,9.5,313.6,69.9,52.5,40.3,69,37.2,28.7
SSP1-2.6,2067,23.6,23.7,145.3,9.5,286.4,59.6,36.1,24.7,60.3,36.6,28.3
SSP1-2.6,2068,20.5,34.7,142.1,9.7,291.9,51.9,36.7,25.2,56.5,36.4,28.6
SSP1-2.6,2069,26.8,42.5,145.6,9.8,294.2,69.8,40.9,31.7,66.9,37.3,28.8
SSP1-2.6,2070,27.1,33.7,146.9,9.8,281.4,62.6,44.9,30.9,56.2,38.8,28.8
SSP1-2.6,2071,25.2,34,154,9.8,291.7,60.9,43.2,34.8,67,36.6,27.8
SSP1-2.6,2072,13.1,14.3,144.6,10,293.9,53.5,25.8,15.1,48.3,35.7,27.9
SSP1-2.6,2073,20.7,35.5,143.3,9.4,289.7,58.7,37.2,22.9,65.6,36,28.8
SSP1-2.6,2074,35.6,35.4,155.9,9.8,332.7,73.5,52.2,40.1,65,38.9,29.2
SSP1-2.6,2075,26.7,31.1,151.2,9.7,306,67.6,48.8,28.1,60.2,37.1,28.2
SSP1-2.6,2076,52,50.9,161.4,9.9,287.4,91.5,70.8,59.5,75.5,38.3,28.8
SSP1-2.6,2077,49.6,44.2,152.2,10.1,301.8,86.6,71.8,49.8,77.7,38.4,28.5
SSP1-2.6,2078,24.6,33,146.4,9.7,303.2,68,48.8,30.9,64.1,36.2,28.3
SSP1-2.6,2079,29.3,37.7,151.4,10,326,70.7,46.2,30.2,66.8,36.9,28.9
SSP1-2.6,2080,23.3,30.6,148.6,9.6,288.9,68.6,45.7,30.6,68.9,36.9,27.9
SSP1-2.6,2081,33.3,40.3,152.5,10.1,297.5,75.9,59.6,35.2,71.4,38.5,29.2
SSP1-2.6,2082,32.9,28.1,149.3,10,322.6,67.6,51.8,30.6,56.7,37.6,28.3
SSP1-2.6,2083,35.3,38.4,159.6,9.8,308.8,72.3,50.4,36.3,70.1,38.4,29.8
SSP1-2.6,2084,38,44.2,153.1,10.1,340.2,79.1,62,40.4,75.1,36.9,28.4
SSP1-2.6,2085,30.8,35.7,148.3,9.8,277.6,78.7,57.3,33.9,64.7,37.2,28.5
SSP1-2.6,2086,43.5,43,156.3,10.1,314.1,80.9,64.1,42.7,63.9,38.6,29.1
SSP1-2.6,2087,29.3,42.4,146.1,9.7,287.1,70,54.1,34.8,65.5,36.2,28.4
SSP1-2.6,2088,27.7,29.3,145.3,9.9,292.8,65.1,37.2,24.8,54.2,36.9,28.5
SSP1-2.6,2089,33.2,45.9,151,9.5,312.7,71.7,54.5,38.9,75.3,38.7,29.6
