시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,14,2.5,114.3,11,260.2,40.4,22.5,12.7,40.4,34.2,25.1
현재기후,2001,16.1,7.1,127.8,11,253.7,40,20.1,15.2,34.1,35.5,25.6
현재기후,2002,5.8,3.1,119.6,10.6,257.3,25,3.8,5.6,29.3,35.3,25.9
현재기후,2003,2.3,1.1,115.7,10.2,261,14,2.1,5.1,18.9,33.6,24.5
현재기후,2004,21.1,3.4,119.6,11.4,277.3,39,26.8,26.8,37,35.5,24.8
현재기후,2005,10.9,3.3,129.3,10.8,235.8,36,20.1,9.7,42,35.6,24.9
현재기후,2006,18.3,5.8,123.5,10.7,276.1,35.7,23.1,20,35.4,35.4,25.3
현재기후,2007,10.6,4.8,117.3,10.5,258.4,32.7,17.2,10.4,39.3,34.8,25.3
현재기후,2008,12.5,3.8,131,11.1,273.8,40.5,21.1,8.3,36,34.8,25.2
현재기후,2009,4,1.6,131,11.3,246,23.9,5.5,6,18.7,33.5,25.6
현재기후,2010,15.4,7.8,122.8,10.6,271.1,46.4,26.6,11.8,57.9,34.9,25.6
현재기후,2011,8.1,3.8,117.4,10.8,248.2,36,14,6.9,48.1,34.9,25.2
현재기후,2012,17.3,4.9,126.3,10.7,238.3,34,19.8,19.8,40.4,36.4,25.6
현재기후,2013,19.4,10.3,130.5,11.1,241.2,45.6,22.1,20.6,50.6,35.5,25.5
현재기후,2014,4.1,0.9,125.6,11.2,258.6,14.7,1.1,3.9,17.7,34.9,24.6
현재기후,2015,9.8,1.9,129.5,11,277.8,26.9,12.7,12.6,22.6,35.6,24.9
현재기후,2016,28.2,5.2,134,10.8,262.4,44.8,37.1,32.9,40.9,35.7,25
현재기후,2017,12.6,8.1,132.7,11.5,250.6,38.1,15.4,9.6,46.7,35.8,25.9
현재기후,2018,36.9,12,124.4,11.3,262.2,50.9,42.2,42.2,49.2,37.7,25.7
현재기후,2019,13.6,8.1,125.3,11.3,275.5,30.6,16.6,16.1,32.5,35.3,25.6
SSP1-2.6,2021,26.6,28.1,144.3,11,283.7,54.9,33.7,18.2,62.6,37.7,27.6
SSP1-2.6,2022,26.9,27.6,135.4,11,289.7,55.2,36.9,18.1,62,37.5,28
SSP1-2.6,2023,25.5,15.1,138.5,11,277.4,53.1,34.7,19.9,49.6,37.1,26.9
SSP1-2.6,2024,26.6,16.4,141.1,11.4,281.5,50.7,32.7,21,41.1,37.8,28.1
