시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,3.6,29.5,106.1,6.6,345.5,42.7,32,14.4,43.2,34.2,27.5
현재기후,2001,6.3,25.4,104.9,6.5,349,38.4,26.2,19.6,36.3,34.3,27.6
현재기후,2002,1.4,5.9,105.1,6.5,354.9,18.9,5.3,5.6,14.4,33.9,26.5
현재기후,2003,3.1,15.8,102.3,6.5,342.1,30.8,24.4,9.3,28,33.5,27
현재기후,2004,8.1,31.3,112.9,7,346.2,44.5,35.7,30.3,44.7,34.3,27.4
현재기후,2005,3.9,26.2,119,6.6,315.7,42,24.6,11.7,46.8,33.4,27.5
현재기후,2006,3.4,24.4,102.6,6.6,355.1,39.2,33,25.3,40.3,33.6,27.2
현재기후,2007,2.7,23.8,108.2,6.5,358.9,38.6,32,17.3,38.4,33.5,27.1
현재기후,2008,2.8,22,100.3,6.4,330.2,38.2,26.6,13.2,34.1,33.4,27.2
현재기후,2009,1.4,12.7,111.6,6.6,349.5,19.5,7.3,7.5,21.4,32.8,27.1
현재기후,2010,5,34.5,100.6,6.5,330.1,43.7,26.3,12.9,51,33.9,27.4
현재기후,2011,3.3,21.1,98.4,6.1,320.9,31.3,14.3,9.1,37.7,34.3,27.6
현재기후,2012,3.5,26.1,106.4,6.4,350.6,33.5,23.9,13.1,36.6,34.2,27.3
현재기후,2013,14.9,41.2,116.4,7,336.2,55.2,44,39.5,53.1,34.9,27.4
현재기후,2014,1.3,3.7,105,6.7,361.4,10.6,0,3.5,11.1,33.2,26.8
현재기후,2015,2.1,7.6,98.6,6.8,349.8,22.5,14.6,14.6,17.8,33.6,26.3
현재기후,2016,8.7,22,108.7,6.9,345.4,42.2,35.4,24.6,37.7,34.1,26.9
현재기후,2017,12.8,35.2,120.9,7.3,337.6,51.1,43.4,20.4,48.1,35.8,28.1
현재기후,2018,7.7,30.3,103.6,6.9,326.8,45.1,34,26.3,40.9,34.4,27.6
현재기후,2019,2.1,17,109.4,6.9,358.2,28.1,19.3,16.5,29.1,33.5,27.9
SSP1-2.6,2021,8,44,127.4,6.5,345.7,57.2,50.5,32.4,60.3,34.2,27.8
SSP1-2.6,2022,8.4,49.7,125.8,6.6,331.7,57.3,50.7,36.6,63.5,34.4,28
SSP1-2.6,2023,5.1,32.9,118.5,6.4,344.5,48,37.7,26.2,50.2,34,27.7
SSP1-2.6,2024,6.3,31.2,118.5,6.7,343.8,43.1,35,33.1,40.6,34.2,27.8
SSP1-2.6,2025,3.4,32.6,106.1,6.6,364.2,43.7,39,29.3,44.2,33.5,27.8
SSP1-2.6,2026,11.5,45,117.8,6.5,347.5,49,39.4,37.1,56.7,34.5,28.6
SSP1-2.6,2027,9.7,46.2,123.1,6.6,338.1,57.1,49.4,40.2,58.5,35.7,28.1
SSP1-2.6,2028,5.3,36,116.8,6.7,313.5,52.3,44.3,38.9,51,33.8,27.6
SSP1-2.6,2029,7.2,36.1,116.8,6.6,363.8,51.9,38.7,21.5,53.9,35,28.2
SSP1-2.6,2030,11.6,38.9,124.5,6.7,338.6,51.4,42.8,36,52.1,35.1,28.8
SSP1-2.6,2031,9,42.5,134.7,6.8,347.6,51.5,45.6,34.8,53.2,34.3,27.7
SSP1-2.6,2032,7.3,47.1,119.6,6.7,311.8,58.8,50.3,37,64.5,34.4,28.2
SSP1-2.6,2033,11.5,52.9,135.4,6.5,349,64.9,55.2,47.5,66.4,34.7,28.7
SSP1-2.6,2034,4.8,38.5,123.1,6.8,343.7,52.2,46,33.6,51,33.8,27.7
SSP1-2.6,2035,14,41.2,116.7,6.6,359.8,51.9,44.9,41.5,51.7,34.7,29.1
SSP1-2.6,2036,13,47,126.3,6.3,364.9,55.8,52.3,43.8,58.6,34.8,29.1
SSP1-2.6,2037,14.6,55.7,145.6,6.5,362.9,67.9,60.7,51.7,70.3,34.4,28.9
SSP1-2.6,2038,10.1,42.6,133.6,6.4,355.2,50.8,41.8,37.8,54.7,34.6,28.6
SSP1-2.6,2039,26.3,61,120.3,6.7,352.8,65.5,60,56.3,67.7,35.9,28.8
SSP1-2.6,2040,9.8,38.8,136.1,6.7,359.6,51,42.2,40.8,48.5,34.1,28.4
SSP1-2.6,2041,20.4,57,134.2,6.6,350.7,72.5,63,53.1,72.6,35.6,28.9
SSP1-2.6,2042,18.4,60,135.1,6.8,347.1,69.9,62,59.5,67.5,34.7,28.8
SSP1-2.6,2043,25.9,52.9,135.5,6.8,336.3,69.7,59.1,51.7,64.7,35.2,28.9
SSP1-2.6,2044,5.4,43.4,129.3,6.6,353.5,54.8,43.1,34.1,60.4,34.3,28.1
SSP1-2.6,2045,18.7,65.7,136.5,6.6,364,72.3,65.5,61.6,75.9,34.6,28.8
SSP1-2.6,2046,5.3,42.4,123.5,6.6,352.7,54.5,45.7,28.6,54.8,33.6,28.2
SSP1-2.6,2047,23.6,48.2,139.7,6.7,358.6,60.5,48.5,44.4,59.6,35.5,29.2
SSP1-2.6,2048,15.6,51.5,139.3,6.6,341.2,62.8,54.3,50.8,62.4,34.9,29.1
SSP1-2.6,2049,18.6,52.4,138,6.5,333.5,65.6,55.2,48.2,66,35.3,29.3
SSP1-2.6,2050,18.2,47.9,149.2,6.8,334.7,60.7,52.7,48.7,62,34.9,28.8
SSP1-2.6,2051,16.5,56,131.1,6.6,351.9,63,52,48.1,68.7,34.5,28.5
SSP1-2.6,2052,24.2,53.1,131.2,6.9,350.8,61,51.9,49.4,60.9,35.7,29
SSP1-2.6,2053,23,54.1,142.2,6.9,356,68.8,57.6,52.6,67,35.4,29.2
SSP1-2.6,2054,12.1,43.9,125,6.7,362.6,53.1,44.3,43.1,55.1,34.6,28.7
SSP1-2.6,2055,6.7,59.1,132.8,6.3,347.6,66.3,55.3,44.7,74.4,34,28.4
SSP1-2.6,2056,20.7,57.9,136,6.7,363.8,73,62.4,51.1,70.6,35.6,29
SSP1-2.6,2057,22.6,46.6,136.4,6.6,343.5,59.8,51.8,50.4,54.4,36.4,29.7
SSP1-2.6,2058,19.1,57.7,132.8,6.5,352,66.7,59.6,55.2,69.2,34.9,29.5
SSP1-2.6,2059,4.4,40,121.2,6.7,328.5,57,46,35.7,55.8,33.9,28
SSP1-2.6,2060,5.1,42,143.1,6.6,341.4,62.8,48,32.9,59.5,33.9,27.5
SSP1-2.6,2061,20.6,54.1,134.2,6.6,353.3,62.3,55.4,49.7,63.1,35.1,29.1
