시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,14.9,2,108,10.7,244.9,45,23.3,13,40.7,34.4,25.3
현재기후,2001,13.7,4.8,127.8,10.9,250.2,47.8,19.2,11.5,37.6,35.4,25.9
현재기후,2002,4.5,2.8,114.2,10.4,249.7,25.3,3.1,5.5,28.2,35.5,26.2
현재기후,2003,0.9,0.9,108.4,10,258.1,15,0.8,4.1,16.9,32.7,24.7
현재기후,2004,17.3,1.2,116.1,11,275.5,37.8,23.9,23.5,36.3,35.5,25
현재기후,2005,8.6,1.3,119.3,10.4,237.3,35.7,17.3,9.3,40.9,35.5,24.8
현재기후,2006,14.2,2.2,121.5,10.4,248.5,33.3,22.3,18.8,35,35.2,25.3
현재기후,2007,8.8,3.8,114.6,10.2,256.6,36,14.6,11.4,35.1,34.8,25.7
현재기후,2008,9.7,1.5,123.2,10.7,261.4,34.3,14.6,8.6,32.7,34.9,25.2
현재기후,2009,2.5,0.2,123.8,10.9,241.8,28.2,8.6,6.7,15.8,33.5,24.5
현재기후,2010,11,3.9,114.6,10.1,268.6,43,18.4,11.5,55.7,34.7,25.5
현재기후,2011,4.4,1.6,104.6,10.2,248.4,30.3,11.4,7,43.8,34.3,25.3
현재기후,2012,13.5,4,120.2,10.3,232.5,35,20.2,20.2,42.1,36.4,25.7
현재기후,2013,10.1,7,127.3,10.5,240.4,41.9,22.2,21.5,46.9,34.4,26.1
현재기후,2014,3.5,0.1,123.2,10.7,260.5,16.9,0,4.1,16.7,33.9,24.2
현재기후,2015,6.4,0.5,126.9,10.7,270.4,28.4,10.2,9.9,26.3,35,24.7
현재기후,2016,22.3,2.4,129.1,10.7,255.4,44.6,34.7,27.8,40.4,35.1,25
현재기후,2017,9.5,4.9,128.2,11.1,246.2,37,11.7,8.4,48.4,35.5,26.1
현재기후,2018,33,11.2,114.8,10.9,264.1,50,41.1,41,47,37.8,25.8
현재기후,2019,11.8,3.6,124.2,11.1,264.5,31.2,15.9,14.7,35.3,35.6,25.5
SSP1-2.6,2021,24.8,27.2,139.5,10.7,276.8,57.9,36.7,21.5,62.3,37.1,27.8
SSP1-2.6,2022,22,24.5,129.1,10.6,281.9,56.5,35.9,18.1,60.6,36.8,27.9
SSP1-2.6,2023,21.4,13.6,133.7,10.8,271.7,56.3,35,18.9,49.8,36.3,27
SSP1-2.6,2024,21.9,13.9,136,11,272,50.1,32.2,19.6,42.4,36.9,27.8
SSP1-2.6,2025,20.6,18.3,118.5,10.5,277.1,46.9,35.2,24.5,47.9,37,28
SSP1-2.6,2026,13.1,25.6,130.1,10.4,285,39.5,22,17.5,52.3,35.8,28.4
