시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
현재기후,2000,15.5,0.5,110.5,11.7,239.3,45.5,20.4,11.6,38.2,34.7,24.5
현재기후,2001,15.3,0.9,131.6,12,242.3,45.3,18.2,10.2,32.5,35.1,24.7
현재기후,2002,6.6,0.9,118.4,11.5,247.3,27.8,7.6,8.5,26.9,35.1,25.1
현재기후,2003,1.5,0,108.4,10.9,257,14,0.8,4,14.7,33.2,23.8
현재기후,2004,21,0.6,117.6,12.2,263.7,37.5,26.8,23.1,35.7,35.9,24.5
현재기후,2005,12,0.6,124.1,11.7,232.4,40.3,21.3,10.2,41.9,35.6,24.4
현재기후,2006,16.2,0.8,124.5,11.4,261.1,30.2,21,18.4,34.7,35.7,24.6
현재기후,2007,10.7,0.8,115.9,11.2,250.8,34.3,9.4,8.9,34.9,34.2,24.7
현재기후,2008,13.6,1.4,129,11.9,251.3,35.5,18.8,11.3,35.1,35,24.9
현재기후,2009,3.2,0.2,129.2,12,236.6,25,5.6,5.9,15.5,33.6,24.1
현재기후,2010,15.1,4.6,120.1,11.1,241.8,42.6,16.6,9.4,58.8,35,25.3
현재기후,2011,3.9,0.5,110.6,11.2,241.5,30.5,8.8,6.3,45,34,24.5
현재기후,2012,13.6,2.2,122.9,11,228.6,32.4,18.3,18.3,42.6,36.3,24.7
현재기후,2013,11.4,4,131,11.2,234.1,41.9,18.5,18.2,50,34.1,25.3
현재기후,2014,5.3,0,128.6,11.6,255.6,19.7,0,4.2,18.8,34.6,23.9
현재기후,2015,10,0.9,133.7,11.5,260.6,31.1,8.9,8.9,28.1,35.7,24.3
현재기후,2016,26.3,2.2,130.8,11.4,251.3,44.8,31.1,23.8,39.7,35.8,24.8
현재기후,2017,12.1,3.6,133.8,12,242.1,39.6,14.2,8.7,47.4,35.9,25.5
현재기후,2018,35.2,10,120.2,11.7,252.7,50.6,39.3,38.9,48.9,38.5,26.2
현재기후,2019,14.7,4.8,128.8,11.9,260.9,33.6,16.7,15.8,36,35.6,25.6
SSP1-2.6,2021,29.2,23.6,142.7,11.6,270.2,58.1,39.8,16.7,62.1,38.8,27.7
SSP1-2.6,2022,25.8,22.5,135.1,11.5,276.6,57.2,32.1,12.8,60.5,37,27.8
SSP1-2.6,2023,22.7,12.6,134.1,11.6,260.6,50.7,28.9,16,48.1,37.1,26.7
SSP1-2.6,2024,25.8,12.3,139.7,12.1,271.6,50.4,31.6,18.7,41.3,38.3,27.8
SSP1-2.6,2025,24.8,15.1,120.2,11.4,276.6,46.2,32.3,21.8,48.1,37.3,27.9
SSP1-2.6,2026,15.2,22.7,131.7,11.2,282.8,36.7,17.2,14,53.2,36.5,28
SSP1-2.6,2027,29.5,17.3,139.2,11.9,273.1,58.3,36.3,16.9,59,38.9,27.7
SSP1-2.6,2028,38.4,11.8,138.5,12.2,266.6,64.3,38.4,17.7,50.9,39.2,27
SSP1-2.6,2029,27.6,15,138.7,11.7,268.3,59.3,28.4,14.9,50.8,38.5,27.7
SSP1-2.6,2030,25.4,22.5,145.7,11.8,265.4,54.6,32.4,16,51.2,37.5,28.2
SSP1-2.6,2031,20.8,15.8,148.1,12.1,284,47.9,23.2,14.7,44.9,36.3,27.2
SSP1-2.6,2032,30.2,23.4,134.6,11.8,251.3,58.6,37.4,15.4,57.8,38.2,27.9
SSP1-2.6,2033,32,22.2,144.7,11.2,249.3,69.9,44,22.4,61.4,37.6,28
SSP1-2.6,2034,21,14.3,132.4,11.8,270.9,49.1,27.4,14.6,46,37.7,27.2
SSP1-2.6,2035,25.3,17.9,128.7,11.5,271.1,51,30.6,20.6,54.2,37.5,28.9
SSP1-2.6,2036,32.8,25.9,135.3,11.6,275.4,58.8,37.5,27.8,56,38.6,28.3
SSP1-2.6,2037,37.2,25.9,151.4,11.6,286.9,71.3,44.3,26.8,65.1,38.1,28
SSP1-2.6,2038,14.1,18.3,138.4,11.3,267.7,38.4,16.2,11.5,52,35.9,28.6
SSP1-2.6,2039,38.9,33.2,124.8,11.3,262.1,63.3,46.1,37.5,68.1,40.5,28.2
SSP1-2.6,2040,41.1,18.2,150.8,12.2,254.1,74.2,43.5,27,50.1,39.8,28
SSP1-2.6,2041,42.7,20.5,139.4,11.7,279.1,63.1,45.2,32.2,63.1,42.1,28.1
SSP1-2.6,2042,44.5,32.1,139.9,11.7,253.3,73.3,52.4,31.9,67.2,38.6,28.8
SSP1-2.6,2043,44.5,32.9,145.2,11.5,264,70.8,47.9,31.4,66.3,39.1,29.2
SSP1-2.6,2044,24.8,13.2,137.8,11.7,269.8,57,25.5,11.7,51.8,37.2,27.7
SSP1-2.6,2045,38,39.6,151.4,11.5,270.6,69.9,45.6,26.8,73.7,38.5,28.6
SSP1-2.6,2046,15.7,19.5,129.4,11,252.4,43.8,17.9,9,53.5,36.9,27.6
SSP1-2.6,2047,34.5,27.6,146.8,11.5,263.8,63.9,34.4,21.9,58.5,39.1,28.8
SSP1-2.6,2048,37.6,26,141.1,11.7,267.1,67.2,44.6,24.4,58.1,40,28.7
SSP1-2.6,2049,34.8,24.9,157,11.9,262,65.9,38.8,20.6,60.1,39.3,28.7
SSP1-2.6,2050,43.8,26.6,152.5,12.1,279.2,72.4,46.3,26.7,62.8,40.1,28.4
SSP1-2.6,2051,36.8,30.2,147.4,11.5,261.3,66.3,40.9,32.4,68.7,39,27.8
SSP1-2.6,2052,36.3,23.5,145.9,12.2,292.7,54.9,40.2,26.9,60.2,39,28
SSP1-2.6,2053,38.7,31.4,144.6,11.5,278.6,66.5,48,25.9,68.5,39.2,28.3
SSP1-2.6,2054,22.1,18.5,133.1,11.2,252.4,47.2,22.4,16.1,53,37.2,28.5
SSP1-2.6,2055,30,36,145.2,10.9,260,59,36.8,23,76.1,38.9,28.8
SSP1-2.6,2056,38.1,25.9,145.3,11.5,272,65.1,46.3,24.9,68.3,38.5,28.2
SSP1-2.6,2057,43.5,24.6,147.5,11.6,265.8,70.6,44.4,30.6,54.3,41.4,28.6
SSP1-2.6,2058,37.4,28.3,148.2,11.3,260,74.7,49.8,24.7,64.5,39.4,29.8
SSP1-2.6,2059,18.7,11.4,130.2,11.7,271.9,51.9,25,11.9,50,37.1,27.9
SSP1-2.6,2060,28.3,11,150.1,11.8,253.9,59.5,25.3,9.7,55.2,38.4,27.4
SSP1-2.6,2061,34.6,27.1,151.3,11.7,287.2,65.9,34.5,27.1,61.5,38.1,28.2
SSP1-2.6,2062,19.2,19.3,145.3,11.1,273.7,48.2,20.3,12,57.5,37.2,28
SSP1-2.6,2063,58.3,32.8,158.7,12.4,268.5,89.2,65.1,42.6,70.4,41.1,29.3
SSP1-2.6,2064,56.7,23.6,152.2,11.8,265,88,64.5,30.2,73.9,39.3,27.9
SSP1-2.6,2065,34.9,17.1,146.1,11.4,280.9,64.7,33.4,20.1,51.1,37.6,27.6
SSP1-2.6,2066,35,30.4,147.5,11,271.8,68.1,41.2,29,67.8,38.8,28.9
SSP1-2.6,2067,30.5,16.4,142.8,11.2,279.3,59.8,32.3,16,59.2,38.1,28.7
SSP1-2.6,2068,19.8,22.4,139.1,11.3,266.1,46.8,20,11.1,57.3,37.1,28
SSP1-2.6,2069,36.3,30.8,142.8,11.5,258.3,68.2,44.1,23.9,66.3,38.5,28.6
SSP1-2.6,2070,33,23.1,145,11.7,260.2,65,39.6,19.6,57.1,38.3,28.2
SSP1-2.6,2071,28.6,20,150.9,11.6,269.8,59,35.5,23.7,66.5,37.9,28
SSP1-2.6,2072,18.9,10.1,143.2,11.8,264.5,52.3,21.9,12,49,37.5,27.5
SSP1-2.6,2073,22.5,24.8,142.9,11.2,264,52.9,21.7,13.1,64.3,37.8,28.3
SSP1-2.6,2074,37,24.1,151.7,11.4,275.4,70.8,41.5,23.2,63.6,38.9,29.5
SSP1-2.6,2075,32.1,20.2,150.7,11.6,272.6,66.8,43.1,18,60.6,38.5,28.1
SSP1-2.6,2076,57.2,35.1,160.8,11.8,271.3,95.3,69.2,47.9,70.2,38.9,28.6
SSP1-2.6,2077,64.8,26.4,154.1,12.2,284.1,94,73.6,38.7,72.7,39,28
SSP1-2.6,2078,30.5,20.8,148.6,11.6,275,63.2,36.7,16,62.3,37.7,28
