term_id,term_en,definition_en,term_ko,definition_ko,created_at,updated_at
1,carbon credit ,"An emissions unit that is issued by a carbon crediting
programme and represents an emission reduction or removal of
greenhouse gases. Carbon credits are uniquely serialised,
issued, tracked and cancelled by means of an electronic
registry.",탄소 크레딧,"탄소 크레딧 프로그램이 발행하는 배출권 단위로, 온실가스의 감축 또는 제거를 나타낸다. 탄소 크레딧은 전자 등록부를 통해 고유 일련번호 부여·발행·추적·소각(취소)된다.",,
2,climate resilience,"The capacity of an entity to adjust to climate-related changes,
developments or uncertainties. Climate resilience involves the
capacity to manage climate-related risks and benefit from
climate-related opportunities, including the ability to respond
and adapt to climate-related transition risks and climaterelated physical risks. An entity’s climate resilience includes
both its strategic resilience and its operational resilience to
climate-related changes, developments and uncertainties.",기후 회복력,"기후 관련 변화·전개·불확실성에 대해 조정(적응)할 수 있는 능력. 여기에는 기후 관련 위험을 관리하고 기후 관련 기회를 활용할 수 있는 역량, 즉 전환 위험·물리적 위험에 대응·적응할 수 있는 능력이 포함된다. 기업의 기후 회복력은 전략적 회복력과 운영상의 회복력 모두를 뜻한다.",,
3,"climate-related
physical risks","Risks resulting from climate change that can be event-driven
(acute physical risk) or from longer-term shifts in climatic
patterns (chronic physical risk). Acute physical risks arise from
weather-related events such as storms, floods, drought or
heatwaves, which are increasing in severity and frequency.
Chronic physical risks arise from longer-term shifts in climatic
patterns including changes in precipitation and temperature
which could lead to sea level rise, reduced water availability,
biodiversity loss and changes in soil productivity.
These risks could carry financial implications for an entity,
such as costs resulting from direct damage to assets or indirect
effects of supply-chain disruption. The entity's financial
performance could also be affected by changes in water
availability, sourcing and quality; and extreme temperature
changes affecting the entity's premises, operations, supply
chains, transportation needs and employee health and safety.",기후 관련 물리적 위험,"기후변화로부터 발생하는 위험으로, 사건 기반(급성 물리적 위험)이나 장기적인 기후 패턴 변화(만성 물리적 위험)로 구분된다. 급성 물리적 위험은 폭풍·홍수·가뭄·폭염 같은 기상 사건의 빈도와 강도가 증가함으로써 발생한다. 만성 물리적 위험은 강수량·기온의 장기 변화로 일어나며, 해수면 상승·수자원 부족·생물다양성 감소·토양 생산성 변화 등을 초래할 수 있다. 이러한 위험은 자산의 직접적 피해비용이나 공급망 붕괴로 인한 간접효과 등 재무적 영향을 초래할 수 있다. 또한 수자원 가용성·조달·품질 변화, 극심한 온도 변동은 사업장, 운영, 공급망, 운송 수요, 종업원 안전·보건 등에 영향을 미쳐 기업 재무성과에 영향을 줄 수 있다.",,
4,"climate-related risks
and opportunities","Climate-related risks refers to the potential negative effects of
climate change on an entity. These risks are categorised as
climate-related physical risks and climate-related transition
risks.
Climate-related opportunities refers to the potential positive
effects arising from climate change for an entity. Efforts to
mitigate and adapt to climate change can produce climaterelated opportunities for an entity",기후 관련 위험과 기회,"기후 관련 위험은 기후변화가 기업에 미칠 수 있는 부정적 영향을 말하며, 기후 관련 물리적 위험과 기후 관련 전환 위험으로 구분된다. 기후 관련 기회는 기후변화로 인해 기업이 얻을 수 있는 잠재적 긍정적 효과를 말한다. 기후변화 완화·적응 노력이 기업에 기후 관련 기회를 창출할 수 있다.",,
5,"climate-related
transition plan","An aspect of an entity’s overall strategy that lays out the
entity’s targets, actions or resources for its transition towards a
lower-carbon economy, including actions such as reducing its
greenhouse gas emissions",기후 관련 전환 계획,"저탄소 경제로의 전환을 위해 기업이 설정한 목표·활동·자원을 제시한, 기업의 전체 전략의 한 부분. 여기에는 온실가스 배출 저감과 같은 조치가 포함된다.",,
6,"climate-related
transition risks","Risks that arise from efforts to transition to a lower-carbon
economy. Transition risks include policy, legal, technological,
market and reputational risks. These risks could carry financial
implications for an entity, such as increased operating costs or
asset impairment due to new or amended climate-related
regulations. The entity's financial performance could also be
affected by shifting consumer demands and the development
and deployment of new technology.",기후 관련 전환 위험,저탄소 경제로 전환하는 과정에서 발생하는 위험. 정책·법률·기술·시장·평판 위험이 포함된다. 이러한 위험은 기후 관련 신규·개정 규제로 인해 영업비용 증가나 자산 손상 같은 재무적 영향을 초래할 수 있다. 또한 소비자 수요 변화나 신기술 개발·도입으로 기업의 재무성과가 영향받을 수 있다.,,
7,CO2 equivalent,"The universal unit of measurement to indicate the global
warming potential of each greenhouse gas, expressed in terms
of the global warming potential of one unit of carbon dioxide.
This unit is used to evaluate releasing (or avoiding releasing)
different greenhouse gases against a common basis",CO₂ 환산 (CO₂e),각 온실가스의 지구온난화지수(GWP)를 고려해 이산화탄소 1단위와 동일한 지구온난화 효과를 나타내는 보편적 측정 단위. 서로 다른 온실가스 배출·감축을 공통 기준으로 평가하는 데 사용된다.,,
8,financed emissions ,"The portion of gross greenhouse gas emissions of an investee or
counterparty attributed to the loans and investments made by
an entity to the investee or counterparty. These emissions are
part of Scope 3 Category 15 (investments) as defined in the
Greenhouse Gas Protocol Corporate Value Chain (Scope 3)
Accounting and Reporting Standard (2011)",금융 지원 배출량,기업이 투자·대출을 제공한 피투자처 또는 거래상대방의 총 온실가스 배출량 중 기업에 귀속되는 부분. 〈온실가스 프로토콜 기업가치사슬(범위 3) 회계·보고 표준(2011)〉에서 정의된 범위 3 범주 15(투자)에 해당한다.,,
9,"global warming
potential","A factor describing the radiative forcing impact (degree of harm
to the atmosphere) of one unit of a given greenhouse gas
relative to one unit of CO2.",지구온난화지수 (GWP),특정 온실가스 1단위가 대기에 미치는 복사강제력(대기 위해 정도)을 이산화탄소 1단위와 비교해 나타낸 계수.,,
10,greenhouse gases,"The seven greenhouse gases listed in the Kyoto Protocol—
carbon dioxide (CO2); methane (CH4); nitrous oxide (N2O);
hydrofluorocarbons (HFCs); nitrogen trifluoride (NF3);
perfluorocarbons (PFCs) and sulphur hexafluoride (SF6).",온실가스,"교토의정서에 명시된 7대 온실가스—이산화탄소(CO₂), 메탄(CH₄), 아산화질소(N₂O), 수소불화탄소(HFCs), 삼불화질소(NF₃), 과불화탄소(PFCs), 육불화황(SF₆).",,
