adoption_id,country,regulatory_authority,applicable_entity,adoption_timeline,remark,created_at,updated_at
1,EU,도입·감독 주체: 유럽연합 집행위원회(EC) – EFRAG(유럽재무보고자문그룹)이 기준 제정,적용 대상: CSRD법 적용을 받는 모든 대규모 EU 기업 및 상장기업 등 (약 5만여 개 기업),"적용 단계 일정: 2024년 연간보고부터 대규모 기업 단계적 적용 개시, 2025년에는 대상 확대, 2026~2028년에 상장 중소기업 및 비EU기업 자회사까지 순차 확대","유럽연합은 자체적인 지속가능성보고지침(CSRD)에 따라 유럽지속가능성보고기준(ESRS)을 채택하여 공시를 의무화하고 있습니다. ESRS는 ISSB 기준과 병행 개발되어 높은 정합성을 갖추고 있으며, 특히 기후공시요건에서는 IFRS S2와 상당 부분 일치합니다. ESRS는 이중 중대성 개념을 포함해 ISSB보다 광범위한 정보를 다루지만, ESRS 기후변화 기준(E1)을 준수하면 IFRS S2 요건 대부분을 충족하도록 상호운용성 지도가 마련되어 중복보고 부담을 줄이고 있습니다",,
2,영국(UK),도입·감독 주체: 영국 정부(재무부·기업통상부) 및 금융감독청(FCA),적용 대상: 대규모 상장사(FCA 규제 대상) 및 추후 지정될 대형 비상장사 등,적용 단계 일정: 2022년 대기업 대상 TCFD 기반 기후공시 의무화 시행; 2024~2025년 ISSB 기준 검토 및 승인 진행 중; 2026년 회계연도 이후부터 ISSB 기준 공시 의무화 예상,"영국은 이미 회사법 및 금융당국 규정을 통해 TCFD 권고에 따른 기후공시를 대기업에 의무화하였으며, ISSB 출범 이후 국가 지속가능성 공시기준(Sustainability Disclosure Standards) 제정 절차를 진행 중입니다. 2024년 5월 정부 발표에 따르면 IFRS S1, S2를 영국 기준으로 엔도스먼트(승인)하여 2025년 초에 국내표준으로 제정할 계획이며, 이후 금융감독청(FCA)이 상장사에 대한 의무공시를 감독하고 기타 비상장 기업에도 단계적으로 적용을 검토할 예정입니다. 2024년 12월 영국 공시기준기술위원회(TAC)는 IFRS S1과 S2의 영국 채택을 공식 권고하였으며, 이에 따라 이르면 2026년 회계기간부터는 해당 기준에 따른 공시가 의무화될 전망입니다",,
3,미국(USA),도입·감독 주체: 미국 증권거래위원회(SEC),적용 대상: SEC 규제 대상 모든 상장사(미국 공개기업),"적용 단계 일정: 2024년 SEC 기후공시 규칙 제정 승인(TCFD 기반); 다만 2025년 현재 소송으로 시행 연기, 최종 시행시기는 미정","미국은 IFRS S1, S2를 직접 도입하지는 않았으나, SEC가 TCFD 체계에 부합하는 자체 기후공시 규정을 추진하고 있어 ISSB 글로벌 기준과 흐름을 같이하고 있습니다. SEC가 2022년부터 논의해 2024년 3월 승인한 기후공시 규칙안은 기업에 _재무에 미치는 실질적 기후위험_과 재무제표 항목별 기후 영향 등을 공시하도록 요구하며, _Scope1·2 온실가스 배출량_도 중요성 판단하에 공시하도록 했습니다. 그러나 규칙 채택 직후 규제 권한 등을 둘러싼 소송이 제기되어 시행이 일시 중단된 상태이며, 2025년 예정된 소송 결과에 따라 시행 일정이 결정될 전망입니다",,
4,캐나다,도입·감독 주체: 캐나다 지속가능성 기준위원회(CSSB) – 증권행정청(CSA) 협업,적용 대상: 캐나다 공개기업 및 대기업 (향후 규정 확정 예정),"적용 단계 일정: 2024년 말 CSSB가 캐나다 지속가능성 공시기준(CSDS) 1·2 제정(IFRS S1,S2 기반); 2025년부터 적용 가능하나 Scope3 배출량 2028년까지 면제, 기후 이외 주제 2027년까지 보고유예 등 단계적 적용","캐나다는 2024년 12월 ISSB 기준을 반영한 국가 공시기준(CSDS 1 및 2)을 발표하며 IFRS S1과 S2를 국내에 도입했습니다. CSDS는 2025년 1월부터 적용 가능하도록 제정되었고, 글로벌 기준과 거의 동일하지만 스코프3 배출량 공시를 3년 유예(2028년까지)하고 기후 이외 지속가능성 공시는 2년 유예(2027년까지)하는 등 일부 완화조치를 포함합니다. 다만 캐나다 증권규제당국(CSA)은 당초 계획했던 즉각적 의무화에서 한발 물러서 자발적 적용을 권고하는 입장을 보이고 있어, 실제 의무화는 향후 논의를 거쳐 확정될 것으로 보입니다",,
5,멕시코,도입·감독 주체: 멕시코 은행증권위원회(CNBV),적용 대상: 멕시코의 모든 증권신고대상 기업(국내외 상장사) 및 일부 대규모 비상장사,"적용 단계 일정: 2025년부터 재무제표에 지속가능성 정보를 통합 공시하고, 2026년에는 모든 대상기업에 IFRS S1, S2 공시 의무화 (2025년 보고서부터 적용); 2026년 보고부터 외부 감사인에 의한 검증 의무화","멕시코는 2025년 회계연도부터 상장기업의 재무제표에 IFRS S1, S2에 부합하는 지속가능성 정보를 포함하도록 법규 개정을 완료했습니다. 이에 따라 멕시코 내 모든 주식 발행인은 2026년부터 별도의 지속가능성 보고서를 통해 거버넌스, 전략, 리스크관리 및 지표·목표 등의 정보를 IFRS S1, S2 기준에 맞춰 공시해야 합니다. 또한 2026년 보고 (2025년 데이터)부터는 이러한 지속가능성 공시에 대해 외부 감사인의 한정검토(제한적 검증)를 받도록 요구하여 공시 신뢰성을 제고하고, 향후에는 검증 수준을 단계적으로 강화할 계획입니다",,
6,브라질,도입·감독 주체: 브라질 재무부 및 증권거래위원회(CVM),적용 대상: CVM 규제 대상 기업 (상장사 및 일부 금융기관 등),"적용 단계 일정: 2024년 자발적 보고 시작, 2025년 준비기간을 거쳐 2026년 1월 1일부로 IFRS S1, S2 공시 의무화 (2026년 회계연도부터 적용)","브라질은 남미 최초로 IFRS S1과 S2의 전면 도입을 발표한 국가로, 2023년 10월 재무부와 CVM이 공동으로 ISSB 공시기준을 국내 규제체계에 편입하겠다는 로드맵을 공개했습니다. 이 로드맵에 따라 브라질 기업들은 2024년에는 ISSB 기준을 자발적으로 적용할 수 있고, 2025년은 준비 단계로 거쳐, 2026년 1월 1일 이후 시작되는 회계연도부터는 의무적으로 IFRS S1, S2에 따른 공시를 제공해야 합니다. 브라질은 이미 회계분야에서 IFRS 기준을 전면 채택 중(2010년 이래)이며, 지속가능성 공시 역시 글로벌 기준을 수용함으로써 자본시장의 투명성과 국제자금 유치에 도움이 될 것으로 기대하고 있습니다",,
7,칠레,도입·감독 주체: 칠레 금융시장위원회(CMF),적용 대상: 모든 대규모 기업 (다만 소규모 기업 일부 예외),"적용 단계 일정: 2026년 1월 1일부터 IFRS S1, S2 공시 의무화 시작; 평균자산 1백만 UF 미만 기업은 면제, 공시경험이 없는 기업에는 1년간 과도기 완화조치 적용","칠레는 2024년 10월 금융당국(CMF)이 공식적으로 IFRS S1과 S2의 의무적용을 2026년부터 시행할 것을 발표하였습니다. 다만 두 해 동안 평균 총자산이 100만 UF(칠레 화폐단위) 미만인 비교적 소규모 기업들은 적용 대상에서 제외하였고, 기존에 지속가능성이나 거버넌스 정보공시를 해오지 않았던 기업들에 대해서는 1년간의 전환 유예를 두어 준비기간을 부여했습니다. 이로써 칠레는 남미에서 브라질에 이어 ISSB 기준을 빠르게 도입하는 국가 중 하나가 되었으며, 향후 공시품질 제고와 국제 투자자 신뢰 향상을 도모하고 있습니다.",,
8,호주(Australia),"도입·감독 주체: 호주 의회·정부(재무부) – 호주 회계기준위원회(AASB)가 기준 제정, 증권투자위원회(ASIC)가 감독","적용 대상: 일정 규모 이상의 상장법인 및 대기업 (수익, 자산, 직원수 또는 배출량 임계치 충족 기업)","적용 단계 일정: 2024년 9월 기후공시 법률 통과, 2025년 1월 1일 이후 회계연도부터 대규모 기업 대상 1단계 공시 실시, 이후 수년간 범위를 확대하여 2030년까지 전 기업에 전면 적용 및 합리적 수준 보증 요구","호주는 2024년 회계법 개정을 통해 기후관련 공시를 의무화하여 ISSB 기준과 발맞춘 국가 중 하나입니다. 2024년 9월 통과된 _재무시장 인프라법 개정안_에 따라 AASB(호주회계기준원)는 호주 지속가능성보고기준(ASRS) S1 및 S2를 최종 확정하였으며, 이는 IFRS S1, S2와 거의 동일하되 우선 기후공시에 집중하는 형태로 도입되었습니다. 법령에 명시된 일정에 따라 2025년부터는 매출·자산·직원수 또는 배출량 요건을 충족하는 대형 상장사 및 일부 비상장사가 1단계로 기후관련 공시를 시작하고, 이후 적용 대상을 순차적으로 넓혀 나갑니다. 또한 검증(Assurance) 요구사항도 단계적으로 강화되어, 2030년까지는 모든 대상기업의 공시에 대해 합리적 수준의 보증을 확보하도록 할 예정입니다",,
9,뉴질랜드(New Zealand),도입·감독 주체: 뉴질랜드 외부보고위원회(XRB) – 금융감독원(FMA) 및 중앙정부,"적용 대상: 기후공시 의무법(2021) 지정 대형 금융기관, 상장사 등 (자산 10억 뉴질랜드달러 이상 은행·보험사, 상장발행인 등 약 200여 개 기업)",적용 단계 일정: 2023년부터 기후공시 의무제 시행 – XRB가 제정한 NZ CS1~CS3 기준 적용하여 2024년부터 첫 보고서 발행 완료,"뉴질랜드는 ISSB 출범 이전인 2021년에 세계 최초로 기후공시 의무화 법안을 통과시켜, 2023년 회계연도부터 약 200개 대기업 및 금융회사에 TCFD 기반 기후관련 재무공시를 요구하고 있습니다. 이에 따라 뉴질랜드 외부보고위원회(XRB)는 2022년에 이미 Aotearoa 뉴질랜드 기후공시기준(NZ CS) 1~3을 제정하였고, 현재 기업들은 동 기준에 따라 최초의 기후관련 공시보고서를 발간하고 있습니다. 이 뉴질랜드 기준은 ISSB의 IFRS S1, S2와 밀접히 정합되도록 마련되어 있으며, XRB는 2023년 ISSB 기준 제정 시 이를 면밀히 모니터링해 뉴질랜드 기준과의 비교 가이드를 발행하는 등 국제정합성 유지를 도모하고 있습니다. 향후 ISSB가 추가 주제의 기준을 내놓을 경우 뉴질랜드도 이에 맞춰 자국 기준을 조정·보완할 계획입니다.",,
10,일본(Japan),도입·감독 주체: 일본 지속가능성 기준위원회(SSBJ) – 금융청(FSA) 지원,적용 대상: 유가증권보고의무가 있는 상장법인 (우선 대형기업 중심),"적용 단계 일정: 2024년 4월 SSBJ가 IFRS S1, S2에 기반한 노출초안 공개; 2025년 3월 최종 일본 지속가능성 공시기준 제정 완료; 2026년 일부 대기업부터 자율적 보고 시작, 2027년 3월 결산 분기부터 1차 대상 기업 공시 의무화 예정","일본은 2022년 말 금융청 산하에 지속가능성 기준위원회(SSBJ)를 신설하여 ISSB 기준 도입 작업을 진행하였습니다. 2024년 4월 SSBJ는 지속가능성 공시기준 초안 3종(일반적용기준, 일반공시기준, 기후공시기준)을 발표했는데, 이는 IFRS S1과 S2의 내용을 토대로 일부 일본 상황을 반영한 것이었습니다. 이후 2025년 3월 최종 공시기준(SDS Japan)을 확정하였으며, IFRS S1의 요구사항을 일반공시와 적용기준으로 나누어 제정하는 등 독자적 편제를 취했습니다. 일본 금융당국은 2026년부터 일부 대형 상장사의 조기적용을 유도하고, 2027년 3월 결산부터 1차 대상 기업들이 본 기준에 따른 보고를 개시하도록 단계적 의무화할 방침입니다",,
