requirement_id,disclosure_id,requirement_order,requirement_text_ko,data_required_type,input_schema,input_placeholder_ko,input_guidance_ko,created_at,updated_at
gov-1,s2-g2,1,기후 관련 의사결정을 담당하는 위원회 또는 조직의 공식 명칭은 무엇인가요?,text,,"예: 이사회 산하 지속가능경영위원회, ESG위원회",,,
gov-2,s2-g2,2,기후 관련 의사결정기구의 인력 현황을 아래 표에 추가하여 작성해주세요.,table_input,"{
""columns"": [
{
""name"": ""division"",
""label"": ""구분"",
""placeholder"": ""예: 사내이사, 사외이사"",
""type"": ""text""
},
{
""name"": ""full_name"",
""label"": ""성명"",
""placeholder"": ""예: 천준영"",
""type"": ""text""
},
{
""name"": ""position"",
""label"": ""직책"",
""placeholder"": ""예: 위원장, 위원"",
""type"": ""text""
},
{
""name"": ""appointment_date"",
""label"": ""이사 선임일"",
""placeholder"": ""YYYY-MM-DD"",
""type"": ""date""
},
{
""name"": ""gender"",
""label"": ""성별"",
""type"": ""select"",
""options"": [""남"", ""여""]
}
]
}",,,,
gov-3,s2-g2,3,해당 조직의 주요 권한 및 책임 범위를 구체적으로 설명해주세요.,text_long,,"예: 지속가능경영 정책 및 전략 수립, 중장기 목표 설정 심의, 환경 분야 성과 관리감독 등",,,
gov-4,s2-g2,4,"이사회 또는 하위 위원회에서 기후 관련 안건을 검토, 심의, 또는 결의한 주요 이력이 있다면 추가하여 작성해주세요.",structured_list,"{
""fields"": [
{
""name"": ""decision_date"",
""label"": ""의결/검토 일자"",
""placeholder"": ""예: 2023년 4월"",
""type"": ""text""
},
{
""name"": ""decision_body"",
""label"": ""의결/검토 주체"",
""placeholder"": ""예: 이사회 산하 지속가능경영위원회"",
""type"": ""text""
},
{
""name"": ""decision_details"",
""label"": ""주요 내용"",
""placeholder"": ""예: 기후변화 시나리오 기반 리스크/기회 검토"",
""type"": ""text_long""
}
]
}",,,,
gov-5,s2-g3,1,"의사결정기구가 기후 관련 역량을 보유했는지 판단하는 '기준'은 무엇인가요? (예: 지식, 리더십, 법규 이해도 등)",text,,"예: 환경경영 리더십, 기후변화 관련 법규 및 국제 동향에 대한 이해도 등",,,
gov-6,s2-g3,2,위 기준을 충족했는지 판단하는 구체적인 '절차'나 사용하는 '도구'가 있다면 설명해주세요.,text,,예: 신임 이사 선임 시 활용하는 '이사회 역량지표 등,,,
gov-7,s2-g3,3,의사결정기구 구성원의 기후 관련 전문성과 역량을 보여주는 주요 인물의 사례를 추가하여 작성해주세요.,structured_list,"{
""fields"": [
{
""name"": ""member_name"",
""label"": ""성명"",
""placeholder"": ""예: 천준영"",
""type"": ""text""
},
{
""name"": ""member_title"",
""label"": ""직책"",
""placeholder"": ""예: 사외이사, 지속가능경영위원회 위원장"",
""type"": ""text""
},
{
""name"": ""competency_details"",
""label"": ""핵심 역량 및 경력 사항"",
""placeholder"": ""예: 국제기구 경험, 특정 산업 전문가로서의 경력, 위원회 참여 이력 등을 구체적으로 서술"",
""type"": ""text_long""
}
]
}",,,,
gov-8,s2-g3,4,"이사회의 기후 관련 역량 향상을 위해 기업에서 전체적으로 실시하는 프로그램이나 제도(교육, 평가 등)가 있다면 설명해주세요.",text_long,,"예: 신임/기존 이사 대상 기후변화 교육 실시, 매년 이사회 평가에 ESG 역량 항목 포함 등",,,
gov-9,s2-g3,5,구성원 개인이 역량 강화를 위해 참여한 구체적인 교육이나 활동 사례가 있다면 추가하여 작성해주세요.,structured_list,"{
""fields"": [
{
""name"": ""member_name_and_title"",
""label"": ""구성원 (이름 및 직책)"",
""placeholder"": ""예: 2024년 지속가능경영위원회 위원장 천준영 이사"",
""type"": ""text""
},
{
""name"": ""activity_details"",
""label"": ""교육/활동 내용"",
""placeholder"": ""예: 기후변화를 포함한 ESG 이슈 대응 역량 강화를 위해 고려대학교에서 관련 과정을 수강"",
""type"": ""text_long""
}
]
}",,,,
gov-10,s2-g4,1,기후 관련 의사결정기구는 주로 어떤 내부 조직 또는 부서로부터 정보를 보고받나요?,text,,예: 전략기획본부 ESG경영실,,,
gov-11,s2-g4,2,"위원회 개최 등 공식적인 의사결정 시, 위원들의 이해를 돕기 위한 추가적인 지원 절차가 있다면 설명해주세요.",text_long,,"예: 의안 내용에 대한 사전 보고, 참고 자료 제공 등",,,
gov-12,s2-g4,3,"필요한 경우, 외부 전문가의 자문을 받을 수 있는 규정이나 절차가 마련되어 있나요?",text,,예: 기업의 비용으로 외부 전문가 자문 가능,,,
gov-13,s2-g4,4,기후 관련 안건은 어떤 규정에 따라 누구에게 보고되나요?,text,,예: 이사회 규정에 따라 이사회 또는 지속가능경영위원회에 보고,,,
gov-14,s2-g4,5,"위원회의 결의 사항은 구성원들에게 어떻게, 그리고 언제까지 통지되나요?",text,,예: 결의일로부터 3일 이내에 각 이사에게 통지,,,
gov-15,s2-g4,6,핵심 의사결정기구(위원회)는 연간 몇 회나 개최되나요?,text,,예: 연 2회 이상,,,
gov-16,s2-g4,7,"의사결정기구가 기후 관련 정보를 보고받거나 관련 안건을 논의한 주요 현황이 있다면, 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""meeting_date"",
""label"": ""개최일자"",
""placeholder"": ""YYYY-MM-DD"",
""type"": ""date""
},
{
""name"": ""agenda_details"",
""label"": ""의안내용"",
""placeholder"": ""예: 2023년 지속가능성보고서 발간 결과"",
""type"": ""text_long""
},
{
""name"": ""related_info"",
""label"": ""관련정보"",
""placeholder"": ""예: 보고서 내 ESG 데이터 및 성과 검토"",
""type"": ""text_long""
}
]
}",,,,
gov-17,s2-g5,1,기후 관련 위험 및 기회 모니터링은 어떤 위원회에서 어떤 방식으로 이루어지나요?,text_long,,예: 지속가능경영위원회의 정기 개최를 통해,,,
gov-18,s2-g5,2,특히 어떤 종류의 중대한 안건이 최상위 의사결정기구(이사회)에서 직접 심의·결의되나요?,text_long,,예: 대규모의 시설투자 등을 수반하는 사항,,,
gov-19,s2-g5,3,"기후 관련 위험 및 기회를 고려한 주요 의사결정 안건이 있다면, 아래 표에 추가하여 작성해주세요.",table_input,"{
""columns"": [
{
""name"": ""category"",
""label"": ""구분"",
""placeholder"": ""예: 이사회, 지속가능경영위원회"",
""type"": ""text""
},
{
""name"": ""decision_date"",
""label"": ""일자"",
""placeholder"": ""YYYY-MM-DD"",
""type"": ""date""
},
{
""name"": ""approval_status"",
""label"": ""가결 여부"",
""type"": ""select"",
""options"": [""가결"", ""부결"",""보고""]
},
{
""name"": ""agenda_details"",
""label"": ""주요 의안 내용"",
""placeholder"": ""예: 2024년도 ESG 경영전략 및 목표 승인"",
""type"": ""text_long""
},
{
""name"": ""climate_considerations"",
""label"": ""기후 관련 위험 및 기회 고려사항"",
""placeholder"": ""예: 저탄소 기술 투자 관련 리스크 및 기회 요인 검토"",
""type"": ""text_long""
}
]
}",,,,
gov-20,s2-g6,1,기후 관련 목표 설정 및 이행 과정을 총괄하여 관리·감독하는 주체(위원회 등)와 그 역할을 설명해주세요.,text_long,,예: 지속가능경영위원회를 통해 목표 설정 및 이행경과를 관리·감독,,,
gov-21,s2-g6,2,수립된 목표의 진척도와 성과를 구체적으로 어떻게 관리(모니터링)하고 있나요?,text_long,,예: 정기적인 성과 모니터링 실시,,,
